assignment_id,phase,candidate_id,input_sha256,snapshot_sha256,batch_id,coder_id,screened_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,notes
A-C0046-04,calibration,C0046,1f01eaa8bf6a35e59aca788932566533be438258dd540c21fa6f4a084a7211b0,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,included,include-1,full_text,https://arxiv.org/pdf/2109.12674v3,arXiv:2109.12674v3,2026-06-30,https://arxiv.org/pdf/2109.12674v3,ae04f7e4a3976f977ccff136a218d0daca5a84224f68ded684a6a734f8a87e2e,"pp. 5-7, Section 4.1 Generating Maps, Algorithm 1, Figures 3-4",NR,Adjacent-domain mapping: MetaDrive's generated road-network lanes and boundaries are transferable course corridors for physics-based autonomous vehicles without changing the map-generation contribution.
A-C0061-04,calibration,C0061,5498563cfb6622c1e393704d6af9ffe6c6a945f6a88c3276dc3059840532be0e,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,excluded,exclude-out-of-scope,full_text,https://mmacklin.com/xpbd.pdf,MiG 2016 version of record; DOI 10.1145/2994258.2994272,2026-06-30,NR,2e8a2030db7999bd425e469bbb798387b74151e3e10c1625d269a7cd75fb0395,"pp. 1-2, Abstract, Section 1 Introduction, and Sections 3-4","XPBD contributes a compliant position-based dynamics constraint solver for elastic and dissipative simulation; it does not generate, represent, characterize, or evaluate navigation courses.",NR
A-C0088-04,calibration,C0088,e689a4540128005ea48af825f03e339b56cd88195102ae2297e38b91da21fc85,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,boundary,boundary,official_documentation,https://www.indyautonomouschallenge.com/challenge,unversioned@2026-06-30,2026-06-30,NR,cb3b7b47dc490ddf22be6b041b32b0cb64dec47ddb28fc42f3dd6feb9e825b2f,"The Challenge, Addressing Real-World Issues, Solving edge case scenarios",NR,Boundary transfer only: generated-course evaluations should require high-speed obstacle avoidance and stable vehicle control in close-proximity operation; the page does not contribute course generation.
A-C0090-04,calibration,C0090,d4e9b17d4b6448293c25383eb658283b7c06f84756bd82e54bc5a66c2a68b701,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,boundary,boundary,official_documentation,https://www.ri.cmu.edu/robotics-groups/driverless-intelligent-vehicles-lab/,unversioned@2026-06-30,2026-06-30,NR,55dd0763ae985e5ba5a19481687cb808ccf30e096605030a51e7ddacf76460f8,Statement; Adversarial Multi-Agent Systems,NR,Boundary transfer only: generated-course evaluation should test safe control under uncertainty and adversarial multi-agent interaction at racing speeds; the lab page makes no course-generation contribution.
A-C0131-04,calibration,C0131,6aa3956a188f64b3a02f150bbea96717cbd874ee2e666d1ed6cf6b64f032280f,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,included,include-1,full_text,https://arxiv.org/pdf/2503.01471v1,arXiv:2503.01471v1,2026-06-30,https://arxiv.org/pdf/2503.01471v1,5c73cafa8c22f042be02a8fc6729f3cb6de510c054e3646a2aade76e60b5ecd0,"pp. 3-4, Figure 2 and Section III.D; p. 6, Section V.B Vision-based Navigation Task",NR,The simulator transforms obstacle submeshes to create and randomize independent static environments used for fast collision-constrained multirotor traversal through cluttered corridors.
A-C0145-04,calibration,C0145,ad76bbb8c1a72cd8ea1297b1814455dc129a23ecbe87696387af99aa481df6be,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,included,include-1,full_text,https://arxiv.org/pdf/2308.12762v1,arXiv:2308.12762v1,2026-06-30,https://arxiv.org/pdf/2308.12762v1,a4d9da6d8dc70857642dec1eb4ecc71b240686cb68582296184f82de9e87f790,"pp. 5-8, Section 3 Problem Formulation; pp. 35-36, Section 7.1 and Figures 26-27",NR,Adjacent-domain mapping: generated road-topology segments and maze obstacles directly map to racing-course corridors and boundaries while preserving RIGAA's scenario-generation and validity constraints.
A-C0168-04,calibration,C0168,c5e10e73fb74bbf841dffd2ac5b898f633578b39525d3bb4ce3ccf2d56d33fae,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,included,include-1,full_text,https://robonation.org/app/uploads/sites/2/2022/10/2022-RobotX_Team-Handbook_v3.0.pdf,RobotX Team Handbook v3.0 (October 2022),2026-06-30,https://robonation.org/app/uploads/sites/2/2022/10/2022-RobotX_Team-Handbook_v3.0.pdf,a9bf574bde799ccb466c6d95c98a6cb8924bab6395954edb57a260f4da8a32af,"document pp. 4 and 13-15, Sections 1.1 and 2.5.2-2.5.3, Figure 5, Table 5",NR,The handbook samples obstacle-buoy positions at random within a path task and varies multi-round course configurations. It also applies to include-2 as a defined competition course set.
A-C0173-04,calibration,C0173,39d2060f9f7fd287396bbd988355a84da6b1d5fc1b0a50e4b80f435051b5870d,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,included,include-1,full_text,https://proceedings.mlr.press/v155/jain21b/jain21b.pdf,"PMLR volume 155, CoRL 2020 proceedings, published 2021",2026-06-30,https://proceedings.mlr.press/v155/jain21b/jain21b.pdf,83f24aad0cb3242fdcb9f81dbe8d53de0b832bf7ffb7517c7a114c129c98d0ba,"p. 12, Appendix B, Experiment design",NR,"The report adapts a random track generator and generates four new F1TENTH tracks, one for training and three for validation."
A-C0183-04,calibration,C0183,7c60bd2458bb73da799febc0331e9505005eb7fe6d0c25aff5f0b7b154d823d2,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,boundary,boundary,full_text_and_supplement,https://proceedings.mlr.press/v155/song21a/song21a.pdf,"PMLR volume 155, CoRL 2020 proceedings, published 2021",2026-06-30,https://proceedings.mlr.press/v155/song21a/song21a.pdf,ac08a94f2a8a1dd614140626c5c9a808b7e40312ba3b37f27771ed22fd363447,"p. 6, Section 4.2 and Table 2; p. 11, Supplementary Section 5.3 Flying Through a Gate",NR,Boundary transfer only: generated drone courses should report time-optimal traversal conditioned on valid gate passage and collision-free completion; Flightmare uses one static gate and does not generate courses.
A-C0187-04,calibration,C0187,e43727a46aaaf2fcc69cf76dade159e0b35c403204f2079379e0d8af2f2bfa03,af56d9b391df4d05182c1ac7703ccae3afd94afc5bb84f5c5ca41f8ac52892df,screening-04,screening-04,2026-06-30,excluded,exclude-out-of-scope,official_documentation,https://byu-holoocean.github.io/holoocean-docs/v1.0.0/usage/scenarios.html#location-randomization;https://byu-holoocean.github.io/holoocean-docs/v1.0.0/usage/scenarios.html#what-is-a-scenario,HoloOcean 1.0.0,2026-06-30,https://byu-holoocean.github.io/holoocean-docs/v1.0.0/usage/scenarios.html,d1c51cac66c5dd9ebb83402605a2815dae24eeb5642eea950e598ac356284961,anchors #what-is-a-scenario and #location-randomization,"The scenario interface explicitly keeps the world or map unchanged and only configures agents, sensors, objectives, and randomized agent start poses; it does not vary course geometry or topology.",NR
