assignment_id,candidate_id,input_sha256,snapshot_sha256,batch_id,phase,title,authors,year,venue,doi,url,source_type
A-C0007-04,C0007,2246070a9f2f4618854cdf6ff3c70233ec506ee6d1248605be967c6190b4e71d,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,ASAM OpenDRIVE,ASAM e.V.,2026,ASAM,NR,https://www.asam.net/standards/detail/opendrive/,standard
A-C0012-04,C0012,f455fdbae6380abed27109ff94626b7310c66bf9f9667d4beb503847827d8732,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy Conner,2024,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,https://doi.org/10.4018/ijamc.350330,journal article
A-C0013-04,C0013,e5dbb1f5711ab5cdd9083086038a0a7040d19fd397150b2d83b20723ebe03b5f,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 20th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/sbgames54170.2021.00025,conference paper
A-C0014-04,C0014,03a8389cdff960c70144ed71b58837cff3585a6dfd441a842d1904abcbd27285,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint
A-C0018-04,C0018,0502f8bf2c0a32bef8c254bec5a512a53e526a5650c915326458c567bf43eaff,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,Abdus Salam Azad; Izzeddin Gur; Jasper Emhoff; Nathaniel Alexis; Aleksandra Faust; Pieter Abbeel; Ion Stoica,2023,Proceedings of the 40th International Conference on Machine Learning,NR,https://proceedings.mlr.press/v202/azad23a.html,conference paper
A-C0020-04,C0020,120f7d9a1cbdb215be7abeb059b45aeee29ce25b3d2283379351c30b05873547,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart J. Russell; Andrew Critch; Sergey Levine,2020,Advances in Neural Information Processing Systems 33,NR,https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html,conference paper
A-C0024-04,C0024,a1d7473112996f9131ea1dce7705758eb3023ed4c573736852c894962a257b89,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,Timo Blattner;Christian Birchler;Timo Kehrer;Sebastiano Panichella,2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,10.1145/3643659.3643926,https://doi.org/10.1145/3643659.3643926,conference paper
A-C0027-04,C0027,81f42999eb6cf2ce147ad1802d4e7af030319ac9c75c5ab1b0393ab44736165e,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,Yueqian Liu,2024,arXiv,10.48550/arxiv.2411.04246,https://arxiv.org/abs/2411.04246,preprint
A-C0029-04,C0029,109edae216a8ac14d4789118b604a07cd7454c059710383ec43cb7cca8c330d6,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Outracing champion Gran Turismo drivers with deep reinforcement learning,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,2022,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7,journal article
A-C0036-04,C0036,c41846e196e2c8cbc5cea5921760500cc3474164b61ceeec4cc93fc8bfd5212b,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-04,main,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,Paul A. Theodosis; J. Christian Gerdes,2011,"ASME 2011 Dynamic Systems and Control Conference and Bath/ASME Symposium on Fluid Power and Motion Control, Volume 2",10.1115/dscc2011-6097,https://doi.org/10.1115/DSCC2011-6097,conference paper
