artifact_type,path,sha256,row_count
coding_output,coding/evidence.csv,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55,75
documentation,FROZEN-CODER-PROMPT.md,910bb84edf9ce7a041f8955f4e5ed5b35c2c3609ef0f5cfdb29449da264ac505,NR
documentation,PROCEDURAL-LIMITATIONS.md,de17b8c9fda37b16732705042ba831de7e6dc6bd806b5e42189e0682114dc1c7,NR
documentation,README.md,c703e9b830d5b1f861ad7dd634e88434996ff39034a616edd646c754d01776f0,NR
immutable_release,immutable-release/SHA256SUMS,c6a0550993ecb473321eabd5b6fcbc3428e41a4a598699ebd15ec11947de0203,NR
immutable_release,immutable-release/release_manifest.csv,84b38a2c5069779b6b79a12f053205d9a8495174d532f380420ba5f97f6ca678,NR
input_batch,input/trackgen-pass2-primary-01.csv,53436028264e61d23f35c083ecc8cbed58836a3f8f1ea223a8cb7eb55872d507,13
input_batch,input/trackgen-pass2-primary-02.csv,498e2f3092a6591dfab7493a81367220c4acbdedffc3453fdf2e9c2fd9d5466c,13
input_batch,input/trackgen-pass2-primary-03.csv,752bed14ac9ad5be0b6513f09a77007ad53ec3e2e78ccef1fc0b9febf851ac16,13
input_batch,input/trackgen-pass2-primary-04.csv,51dbccc2a60e7081ae9860f3676735ce572f18661c376574bd70bc6d971bd410,12
input_batch,input/trackgen-pass2-primary-05.csv,8fa47b1cbabbe446860e7a0f26e7cf337541ce144c30f10f18d4d7b4f03e1645,12
input_batch,input/trackgen-pass2-primary-06.csv,9c71b1d35b69d7fd35fdd18cbde434dc056fd066b9281626f8fb4930d91dc793,12
integrated_batch,batches/pass2-primary-01.csv,53436028264e61d23f35c083ecc8cbed58836a3f8f1ea223a8cb7eb55872d507,13
integrated_batch,batches/pass2-primary-02.csv,498e2f3092a6591dfab7493a81367220c4acbdedffc3453fdf2e9c2fd9d5466c,13
integrated_batch,batches/pass2-primary-03.csv,752bed14ac9ad5be0b6513f09a77007ad53ec3e2e78ccef1fc0b9febf851ac16,13
integrated_batch,batches/pass2-primary-04.csv,51dbccc2a60e7081ae9860f3676735ce572f18661c376574bd70bc6d971bd410,12
integrated_batch,batches/pass2-primary-05.csv,8fa47b1cbabbe446860e7a0f26e7cf337541ce144c30f10f18d4d7b4f03e1645,12
integrated_batch,batches/pass2-primary-06.csv,9c71b1d35b69d7fd35fdd18cbde434dc056fd066b9281626f8fb4930d91dc793,12
registry,execution_registry.csv,1f64e113ba210640ee96457cf69d345bfc914c5ae9fc5992cb748fd5877e5974,6
