assignment_id,candidate_id,input_sha256,snapshot_sha256,batch_id,phase,title,authors,year,venue,doi,url,source_type
A-C0007-04,C0007,653a075d4d03fcce47d0dcef690e09bcf89ab6e2620be89eda3e7dfc01b0baae,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,ASAM OpenDRIVE,ASAM e.V.,2026,ASAM,NR,https://www.asam.net/standards/detail/opendrive/,standard
A-C0012-04,C0012,f2d916679807edb81c1cf1f7b5cf9822595a3e8926454f15a380bf4d074db277,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy Conner,2024,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,https://doi.org/10.4018/ijamc.350330,journal article
A-C0013-04,C0013,94548e2a00a0b0f023696203e8a62dd7ccb446a768f218af5918008b5facb7e1,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 20th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/sbgames54170.2021.00025,conference paper
A-C0014-04,C0014,55f4950e8708f51fdeda194464214025f1fa3249ead2b0c3598ca89158312a9c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint
A-C0018-04,C0018,ef5a21936d1f3b2634a8a3611c1c9de32eb7c9cde1ff314c5fce8cd3373de535,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,Abdus Salam Azad; Izzeddin Gur; Jasper Emhoff; Nathaniel Alexis; Aleksandra Faust; Pieter Abbeel; Ion Stoica,2023,Proceedings of the 40th International Conference on Machine Learning,NR,https://proceedings.mlr.press/v202/azad23a.html,conference paper
A-C0020-04,C0020,aadd7562fb19f969deefbec656615fd7ddaa18dea14160b34214c082626fd2c6,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart J. Russell; Andrew Critch; Sergey Levine,2020,Advances in Neural Information Processing Systems 33,NR,https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html,conference paper
A-C0024-04,C0024,6fcb1d3f49e349a3554b24dd860f77be689e5425f187328398d9e0cbfc526131,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,Timo Blattner;Christian Birchler;Timo Kehrer;Sebastiano Panichella,2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,10.1145/3643659.3643926,https://doi.org/10.1145/3643659.3643926,conference paper
A-C0027-04,C0027,4794216b3ad9e41b6d6bdc2e452b71d3c122e5b8c5839ba4af9d34f4a43d975e,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,Yueqian Liu,2024,arXiv,10.48550/arxiv.2411.04246,https://arxiv.org/abs/2411.04246,preprint
A-C0029-04,C0029,04a7d999e2d3de9802d683ca45611a74e737899ab3484d46b783d2c929777c58,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Outracing champion Gran Turismo drivers with deep reinforcement learning,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,2022,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7,journal article
A-C0036-04,C0036,ab75449d53b5d05e4ebf1d13eae130d1439a5a70b57e1e23740db7d62a9b5e4c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,Paul A. Theodosis; J. Christian Gerdes,2011,"ASME 2011 Dynamic Systems and Control Conference and Bath/ASME Symposium on Fluid Power and Motion Control, Volume 2",10.1115/dscc2011-6097,https://doi.org/10.1115/DSCC2011-6097,conference paper
A-C0038-04,C0038,323b38ef6efa3ca395f319ee5672f29db32c448d1a20d48175eff51d99e48f00,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Minimum curvature trajectory planning and control for an autonomous race car,Alexander Heilmeier; Alexander Wischnewski; Leonhard Hermansdorfer; Johannes Betz; Markus Lienkamp; Boris Lohmann,2020,Vehicle System Dynamics,10.1080/00423114.2019.1631455,https://doi.org/10.1080/00423114.2019.1631455,journal article
A-C0039-04,C0039,c35f5e7233b83bdbdbc684fb9bea98ad46262af2a0411f759f7b5c2ef2bc44e6,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Optimization of the Driving Line on a Race Track,Martin Mühlmeier; Norbert Müller,2002,Motorsports Engineering Conference & Exhibition,10.4271/2002-01-3339,https://doi.org/10.4271/2002-01-3339,conference technical paper
A-C0047-04,C0047,b65a48696192905ad251a8cfc7cd5b6f8024a73c111b145e8bf51b77560858ab,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,ChickenKorma/Track-Generator,ChickenKorma,2022,GitHub repository,NR,https://github.com/ChickenKorma/Track-Generator,software repository
A-C0052-04,C0052,162274daa192dc64149cfeceb10f2f100ec92df244a8c659d7e95c8a3126998f,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,Procedural modeling of cities,Yoav I. H. Parish; Pascal Müller,2001,Proceedings of the 28th annual conference on Computer graphics and interactive techniques,10.1145/383259.383292,https://doi.org/10.1145/383259.383292,conference paper
A-C0056-04,C0056,f158305a6e3f7515ca6e060f23e5d221862f78b6f7f9bd98995359382924e619,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,main,On the minimum ropelength of knots and links,Jason Cantarella; Robert B. Kusner; John M. Sullivan,2002,Inventiones mathematicae,10.1007/s00222-002-0234-y,https://link.springer.com/article/10.1007/s00222-002-0234-y,journal article
