cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0010,core,ground,car,open_corridor,segment_grammar,search_evolutionary,geometry_synthesis;mutation,penalty,NR,target final progress;maximum speed;final progress variance,NR,NR,NR,custom car-racing simulation,NR,NR,NR,"population size 100;segment mutation probability 0.1","survey_evidence_tier=PDF Sec. 6, Track evolution;domain=PDF Sec. 2, The car racing problem;vehicle=PDF Sec. 2, The car racing problem;course_object=PDF Sec. 6, Track evolution;representation_family=PDF p. 6, Sec. 6 (fixed-length segment sequence);generator_family=PDF Sec. 4.3, Evolutionary algorithm;generation_role=PDF Sec. 6, Track evolution;validity_strategy=PDF Sec. 6, Track evolution;difficulty_metrics=PDF Sec. 6, Fitness measures;simulator=PDF Sec. 2, The car racing problem;reproducibility_fields=PDF Sec. 4.3, Evolutionary algorithm;reproducibility_fields=PDF Sec. 6, Track evolution",NR
DRAFT_C0016,core,adjacent,continuous-control car,closed_track,parametric_curve,constructive;stochastic_procedural;environment_design;selection_replay,geometry_synthesis;task_selection,by_construction;penalty,NR,learning potential;regret,NR,adaptive replay of random and teacher-proposed levels,maze domain;CarRacing OOD human-designed mazes and Formula 1 tracks,CarRacing,NR,official_open,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 1, Introduction;vehicle=PDF Fig. 1, CarRacing tracks;course_object=PDF Fig. 1, CarRacing tracks;representation_family=PDF p. 8, Sec. 6.2 (Bezier tracks and control points);generator_family=PDF p. 8, Sec. 6.2 (Bezier control-point constructor);generator_family=PDF p. 8, Sec. 6.2 (random Bezier tracks);generator_family=PDF p. 2, Sec. 1 (adaptive teacher and replay curator);generation_role=PDF p. 8, Sec. 6.2 (track synthesis);generation_role=PDF pp. 2-3, Secs. 1 and 2.3 (prioritized replay);validity_strategy=PDF p. 8, Sec. 6.2 (closed-loop curvature constraints);validity_strategy=PDF p. 3, Sec. 2.2 (regret disincentive for unsolvable levels);difficulty_metrics=PDF Sec. 1, Introduction;training_distribution=PDF Sec. 1, Introduction;evaluation_suite=PDF Sec. 1, Introduction;simulator=PDF Fig. 1, CarRacing tracks;code_status=PDF Sec. 1, Introduction (facebookresearch/dcd URL)",NR
DRAFT_C0047,core,ground,car,closed_track,parametric_curve,constructive;stochastic_procedural,geometry_synthesis,rejection;repair_projection,point spacing;turn angle,NR,NR,NR,NR,Unity,NR,official_open,NR,"random-point count;point-spacing iterations;angle iterations;maximum displacement","survey_evidence_tier=repo@8cf5fe26 README.md#L11-L44;domain=repo@8cf5fe26 README.md#L11-L12;vehicle=repo@8cf5fe26 README.md#L11-L12;course_object=repo@8cf5fe26 Generation/SplineGenerator.cs#L23-L33;representation_family=repo@8cf5fe26 README.md#L28-L34;generator_family=repo@8cf5fe26 Generation/PointGenerator.cs#L69-L95;generation_role=repo@8cf5fe26 README.md#L19-L44;validity_strategy=repo@8cf5fe26 Generation/PointGenerator.cs#L55-L66 (intersection and bounds rejection);validity_strategy=repo@8cf5fe26 Generation/PointGenerator.cs#L162-L244 (spacing and angle repair);geometry_metrics=repo@8cf5fe26 Generation/PointGenerator.cs#L17-L24;simulator=repo@8cf5fe26 README.md#L3-L4;code_status=repo@8cf5fe26 README.md#L11-L17;reproducibility_fields=repo@8cf5fe26 Generation/PointGenerator.cs#L8-L28",NR
DRAFT_C0050,core,ground,car,closed_track,sampled_centerline;occupancy_heightfield_mesh,constructive;stochastic_procedural,geometry_synthesis;serialization,by_construction,curvature;track width,NR,NR,NR,NR,NR,CSV;PNG;YAML,official_open,official_open,"optional random seed;width;height;track width;control-point count","survey_evidence_tier=repo@45848d15 track_generator.py#L9-L52;domain=repo@45848d15 README.md#L1-L2;vehicle=repo@45848d15 README.md#L1-L2;course_object=repo@45848d15 track_generator.py#L29-L36;representation_family=repo@45848d15 track_generator.py#L54-L78 (sampled centerline CSV);representation_family=repo@45848d15 track_generator.py#L42-L52 and #L81-L96 (occupancy image and YAML);generator_family=repo@45848d15 track_generator.py#L29-L50 (spline and raster construction);generator_family=repo@45848d15 track_generator.py#L17-L27 (random geometry sampling);generation_role=repo@45848d15 track_generator.py#L54-L96;validity_strategy=repo@45848d15 track_generator.py#L29-L36 (explicit periodic closed loop);geometry_metrics=repo@45848d15 track_generator.py#L43-L50;export_format=repo@45848d15 track_generator.py#L76-L96;code_status=repo@45848d15 track_generator.py#L1-L120;asset_status=repo@45848d15 racing_map.yaml#L1-L9;reproducibility_fields=repo@45848d15 track_generator.py#L9-L13;reproducibility_fields=repo@45848d15 track_generator.py#L107-L120",NR
DRAFT_C0052,core,adjacent,NR,road_network,segment_grammar,constructive,geometry_synthesis,rejection;repair_projection,NR,NR,NR,NR,NR,NR,NR,NR,NR,"extended parametric L-system;globalGoals;localConstraints","survey_evidence_tier=PDF Sec. 3, Roadmap generation;domain=PDF Sec. 3, Roadmap generation;course_object=PDF Sec. 3, Roadmap generation;representation_family=PDF p. 3, Sec. 3.1 (extended parametric L-system modules and productions);generator_family=PDF Sec. 3, Roadmap generation;generation_role=PDF p. 3, Sec. 3.1 (road-segment creation);validity_strategy=PDF p. 3, Sec. 3.1 (FAILED modules deleted);validity_strategy=PDF pp. 3-4, Secs. 3.1 and 3.3 (localConstraints parameter adjustment);reproducibility_fields=PDF Sec. 3, Roadmap generation",NR
DRAFT_C0097,core,adjacent,NR,road_network,hybrid,learned_generative,geometry_synthesis,not_reported,negative log likelihood,NR,temperature-controlled sampling variance,Argoverse lane-map samples;in-house map samples,Argoverse dataset;in-house dataset,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 2.1, Street Map Modeling and Generation;course_object=PDF Sec. 3.1, Data Representation;representation_family=PDF pp. 3-4, Sec. 3.1 and Fig. 3 (two-level hierarchical global/local graph);generator_family=PDF Sec. 3.2, Autoregressive Modeling;generation_role=PDF Sec. 3.2, Global Graph Generation;validity_strategy=PDF pp. 3-5, Secs. 3.1-3.2 (inspected generation material; mechanism not reported);geometry_metrics=PDF Sec. 4.2, Table 1;diversity_metrics=PDF Sec. 3.2, Local Graph Generation;training_distribution=PDF Sec. 4.1, Datasets;evaluation_suite=PDF Sec. 4.1, Datasets",NR
DRAFT_C0140,core,ground,quadruped robot,waypoint_sequence;world_asset,NR,environment_design;human_designed,task_selection,not_reported,NR,terrain difficulty level,NR,easy-to-hard terrain curriculum,simulated obstacle course;real-world trials,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF Sec. 3.2, Reinforcement Learning from Scandots;domain=PDF Sec. 4.1, Experimental Setup;vehicle=PDF Sec. 4.1, Experimental Setup;course_object=PDF Fig. 3;generator_family=PDF p. 6, Sec. 3.2 (authored terrain set and performance-based promotion/demotion);generation_role=PDF p. 6, Sec. 3.2 (difficulty-level task selection);validity_strategy=PDF p. 6, Sec. 3.2 (inspected selection material; mechanism not reported);difficulty_metrics=PDF Sec. 3.2, Reinforcement Learning from Scandots;training_distribution=PDF Sec. 3.2, Reinforcement Learning from Scandots;evaluation_suite=PDF Sec. 4.3.1, Simulation results;evaluation_suite=PDF Sec. 4.3.2, Real-world results",NR
DRAFT_C0148,core,adjacent,automated vehicle,road_network,waypoint_graph,constructive;search_evolutionary,geometry_synthesis;boundary_case,penalty,mean relative error,potential path conflicts,NR,NR,"Xi'an cartographic data;15 complexity levels;CARLA lane-change tests",CARLA,NR,official_open,official_open,"4,500 generated road networks;15 complexity levels;source code and replication package","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF Sec. 3.2, Virtual testing in lane-change scenario;course_object=PDF Sec. 3.1, Road network generation;representation_family=PDF p. 4, Sec. 2.1 (parameterized road-element graph);generator_family=PDF pp. 4-6, Secs. 2.1-2.2 (road-element construction);generator_family=PDF p. 6, Sec. 2.2 (PSO, simulated annealing, and Monte Carlo objective search);generation_role=PDF p. 1, Abstract (road-network synthesis);generation_role=PDF pp. 1 and 5, Abstract and Sec. 2.1.2 (high-risk and performance-boundary cases);validity_strategy=PDF p. 6, Sec. 2.2, Eqs. 17-21 (intersection and overlap penalty);geometry_metrics=PDF p. 1, Abstract;difficulty_metrics=PDF Sec. 3.1, Road network generation;evaluation_suite=PDF p. 1, Abstract;evaluation_suite=PDF Sec. 3.2, Virtual testing in lane-change scenario;simulator=PDF Sec. 3.2, Virtual testing in lane-change scenario;code_status=PDF Replication and data sharing;asset_status=PDF Replication and data sharing;reproducibility_fields=PDF p. 1, Abstract;reproducibility_fields=PDF Replication and data sharing",NR
DRAFT_C0150,core,maritime,maritime autonomous surface ship remote operator,waypoint_sequence,NR,constructive,geometry_synthesis,by_construction,course-altering angle;distance between waypoints,NR,NR,trajectory-data-fitted navigation-element proportions,NR,NR,NR,NR,NR,"10-minute extraction window;5-degree COG standard-deviation threshold;eight permutation components","survey_evidence_tier=PDF Sec. 2.3.2, Application of Proportion;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF Sec. 2.2.2, Navigation Element Extraction;generator_family=PDF Sec. 2.3.2, Application of Proportion;generation_role=PDF Sec. 2.4, Permutation of Values in Different Proportions;validity_strategy=PDF Sec. 4.3, Permutation Method of Navigation Scenario Generation;geometry_metrics=PDF Sec. 2.2.2, Navigation Element Extraction;training_distribution=PDF Sec. 2.3.1, Representative Value Decision;reproducibility_fields=PDF Sec. 2.2.2, Navigation Element Extraction;reproducibility_fields=PDF Sec. 3.3, Permutation of Prepared Components and Sample Scenario",NR
DRAFT_C0161,core,ground,quadruped robot,waypoint_sequence;world_asset,hybrid,constructive;stochastic_procedural;learned_generative;environment_design,geometry_synthesis;mutation,rejection;repair_projection,maximum terrain height difference,number of reached goals;difficulty,terrain height statistics,10 terrain classes across 10 difficulties,"20 held-out simulation tasks;real-world courses",NR,NR,NR,NR,"GPT-4o;five generation iterations;10 terrain classes;10 difficulties","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 1, Introduction;vehicle=PDF Sec. 1, Introduction;course_object=PDF Appendix A.2, Environment Specification;representation_family=PDF p. 20, Appendix A.5 (height field plus eight ordered goal coordinates);generator_family=PDF p. 20, Appendix A.5 (Python course constructor);generator_family=PDF pp. 17-18, Appendix Listing 4 (random geometric parameters);generator_family=PDF pp. 5-6, Secs. 4.1-4.2 (LLM generation and policy-feedback evolution);generation_role=PDF Sec. 4, Methods;validity_strategy=PDF p. 19, Appendix A.4 (executable/feasible environment check);validity_strategy=PDF p. 19, Appendix A.4 (automatic goal, spawn, and obstacle fixes);geometry_metrics=PDF Appendix A.1, Generated Terrain Examples;difficulty_metrics=PDF Appendix A.1, Generated Terrain Examples;diversity_metrics=PDF Appendix A.1, Generated Terrain Examples;training_distribution=PDF Appendix A.2, Policy Training;evaluation_suite=PDF Sec. 5.2, Simulated Parkour Benchmark;evaluation_suite=PDF Sec. 1, Introduction;reproducibility_fields=PDF Sec. 4, Methods;reproducibility_fields=PDF Appendix A.2, Policy Training",NR
