cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
"DRAFT_C0009","core","ground","car","closed_track","segment_grammar;parametric_curve","constructive;search_evolutionary","geometry_synthesis;mutation","rejection;penalty","NR","NR","curvature_profile_entropy;speed_profile_entropy","NR","human_subject_validation","TORCS","NR","NR","NR","NR","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Sec. I;course_object=PDF p. 5, Sec. V-B;representation_family=PDF p. 4, Sec. V-A;representation_family=PDF p. 5, Sec. V-B-C;generator_family=PDF p. 5, Sec. V-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 5, Sec. V-C;generation_role=PDF p. 5, Sec. V-E;validity_strategy=PDF p. 5, Algorithm 1;validity_strategy=PDF p. 9, Sec. VII-A;diversity_metrics=PDF p. 6-7, Sec. VI-A-B;evaluation_suite=PDF p. 1, Abstract;simulator=PDF p. 1, Sec. I","NR"
"DRAFT_C0011","core","ground","car","closed_track","segment_grammar","constructive;search_evolutionary","geometry_synthesis;mutation","by_construction;penalty","NR","NR","curvature_profile;speed_profile","NR","tester_questionnaire","NR","NR","NR","NR","NR","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. 3;representation_family=PDF p. 4, Sec. 4;generator_family=PDF p. 4, Sec. 4;generator_family=PDF p. 6, Sec. 6;generation_role=PDF p. 4, Sec. 4;generation_role=PDF p. 7, Sec. 6;validity_strategy=PDF p. 4-5, Sec. 5-A;diversity_metrics=PDF p. 5, Sec. 5-B;evaluation_suite=PDF p. 1, Abstract","NR"
"DRAFT_C0017","core","ground","car","closed_track","centerline_plus_width","constructive;stochastic_procedural","geometry_synthesis","rejection","NR","lap_complete_percent;tile_visit_reward","NR","NR","CarRacing-v3","Gymnasium_Box2D","NR","NR","NR","seed;track_constants","survey_evidence_tier=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L201;domain=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L149;vehicle=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L144-L149;course_object=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L308-L421;representation_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L40-L52 and L381-L470;generator_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L329-L383;generator_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L311-L326;generation_role=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L329-L470;validity_strategy=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L390-L421;difficulty_metrics=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L89-L101;evaluation_suite=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L201;simulator=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L7-L10;reproducibility_fields=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L40-L52;reproducibility_fields=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L498-L520","NR"
"DRAFT_C0049","core","ground","NR","closed_track","centerline_plus_width","constructive;stochastic_procedural","geometry_synthesis","by_construction","NR","NR","NR","NR","NR","Unity","NR","NR","NR","Perlin_noise;A_star_pathfinding;halfTrackWidth","survey_evidence_tier=repo@1653b381 README.md#L1-L2;domain=repo@1653b381 README.md#L1-L2;course_object=repo@1653b381 ProceduralTrackGeneration/Assets/NodeGrid.cs#L518-L537;representation_family=repo@1653b381 ProceduralTrackGeneration/Assets/NodeGrid.cs#L21-L47;representation_family=repo@1653b381 ProceduralTrackGeneration/Assets/TrackGenerator.cs#L10-L25 and L46-L72;generator_family=repo@1653b381 ProceduralTrackGeneration/Assets/NodeGrid.cs#L157-L232;generator_family=repo@1653b381 ProceduralTrackGeneration/Assets/NodeGrid.cs#L122-L155;generation_role=repo@1653b381 ProceduralTrackGeneration/Assets/TrackGenerator.cs#L46-L116;validity_strategy=repo@1653b381 ProceduralTrackGeneration/Assets/NodeGrid.cs#L518-L537;simulator=repo@1653b381 ProceduralTrackGeneration/Assets/TrackGenerator.cs#L1-L31;reproducibility_fields=repo@1653b381 README.md#L1-L2;reproducibility_fields=repo@1653b381 ProceduralTrackGeneration/Assets/TrackGenerator.cs#L5-L12","NR"
"DRAFT_C0063","core","NR","NR","NR","NR","NR","geometry_synthesis","not_reported","NR","NR","NR","NR","NR","NR","NR","NR","NR","num_envs;device;seeds","survey_evidence_tier=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;generation_role=repo@cf9e9433 track_gen/_src/track_generator.py#L34-L56;validity_strategy=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;reproducibility_fields=repo@cf9e9433 track_gen/_src/track_generator.py#L43-L52;reproducibility_fields=repo@cf9e9433 track_gen/_src/track_generator.py#L116-L136","NR"
"DRAFT_C0071","contextual","adjacent","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. 1","NR"
"DRAFT_C0102","core","ground","autonomous_ground_robot","waypoint_sequence;world_asset","waypoint_graph;occupancy_heightfield_mesh","constructive;stochastic_procedural","geometry_synthesis","rejection","map_size;obstacle_density","minimum_route_length;event_score","randomized_map_parameters","NR","500_unique_situations","Player_Stage","NR","official_open","official_open","configuration_files;random_variation","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 4, Sec. 4.1;course_object=PDF p. 3, Sec. 3;representation_family=PDF p. 3, Sec. 3;representation_family=PDF p. 3, Sec. 3;generator_family=PDF p. 3, Sec. 3;generator_family=PDF p. 3, Sec. 3;generation_role=PDF p. 3, Sec. 3;validity_strategy=PDF p. 3, Sec. 3;geometry_metrics=PDF p. 3, Sec. 3;difficulty_metrics=PDF p. 3, Sec. 3;diversity_metrics=PDF p. 3, Sec. 3;evaluation_suite=PDF p. 4, Sec. 4.1;simulator=PDF p. 3, Sec. 3;code_status=PDF p. 3, Sec. 3;asset_status=PDF p. 4, Sec. 4.1;reproducibility_fields=PDF p. 3, Sec. 3;reproducibility_fields=PDF p. 4, Sec. 4.1","NR"
"DRAFT_C0122","core","ground","autonomous_vehicle","open_corridor","segment_grammar;sampled_centerline","constructive;learned_generative","geometry_synthesis","rejection","road_segment_length;turn_degrees;incline","NR","NR","NR","300_generated_roads;11_expert_user_study","BeamNG_tech","JSON","NR","NR","system_prompt;map_boundaries;validation_rules","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. II;representation_family=PDF p. 3, Fig. 4;representation_family=PDF p. 3, Sec. II-C and Fig. 5;generator_family=PDF p. 3, Sec. II-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 3, Sec. II-C;validity_strategy=PDF p. 3-4, Sec. II-C and Sec. III-A;geometry_metrics=PDF p. 3, Fig. 3;evaluation_suite=PDF p. 3-4, Sec. III-A;simulator=PDF p. 1, Abstract;export_format=PDF p. 3, Fig. 3;reproducibility_fields=PDF p. 3, Fig. 3;reproducibility_fields=PDF p. 3, Sec. II-C","NR"
"DRAFT_C0132","supporting","maritime","autonomous_sailboat","waypoint_sequence","NR","NR","benchmark_only","NR","NR","NR","NR","NR","WRSC_IRSC_2013","NR","NR","NR","NR","NR","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 2, Sec. II;course_object=PDF p. 2, Sec. II;generation_role=PDF p. 1, Abstract;evaluation_suite=PDF p. 1-2, Sec. II","NR"
"DRAFT_C0175","supporting","ground","autonomous_vehicle","open_corridor;waypoint_sequence;fixed_benchmark","simulator_native","NR","benchmark_only","NR","NR","NR","NR","NR","CARLA_Leaderboard_2_0","CARLA","XML","official_open","official_open","route_ids;waypoints;weather_parameters","survey_evidence_tier=repo@a87a3419 README.md#L1-L14;domain=repo@a87a3419 README.md#L1-L14;vehicle=repo@a87a3419 README.md#L1-L14;course_object=repo@a87a3419 README.md#L1-L4;representation_family=repo@a87a3419 data/routes_training.xml#L1-L48;generation_role=repo@a87a3419 README.md#L1-L4;evaluation_suite=repo@a87a3419 README.md#L1-L14;simulator=repo@a87a3419 README.md#L1-L14;export_format=repo@a87a3419 data/routes_training.xml#L1-L48;code_status=repo@a87a3419 LICENSE#L1-L20;asset_status=repo@a87a3419 data/routes_training.xml#L1-L48 and LICENSE#L1-L20;reproducibility_fields=repo@a87a3419 data/routes_training.xml#L1-L48","NR"
