assignment_id,candidate_id,input_sha256,snapshot_sha256,batch_id,phase,title,authors,year,venue,doi,url,source_type
A-C0007-04,C0007,0d45d88f38ffa97d4571d254f2ac49e031148a01324bc4775a1132947f0cba86,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,ASAM OpenDRIVE,ASAM e.V.,2026,ASAM,NR,https://www.asam.net/standards/detail/opendrive/,standard
A-C0012-04,C0012,e1ea1561b167b5ebfb6bd216226c22f7c6a5e523f67a99119fe67a5d58215723,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy Conner,2024,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,https://doi.org/10.4018/ijamc.350330,journal article
A-C0013-04,C0013,39c5e195e4faa59b5c8afb26b5004dcf8316e45cc3e97b9775fd7dc3e0e64e56,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 20th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/sbgames54170.2021.00025,conference paper
A-C0014-04,C0014,5669f64670fc34b6ac5b19bc42ef0dd2eaa36ab1396d363d160649c7943d11fc,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint
A-C0018-04,C0018,3fa37917ae74ea3fca0b4b95331f4052c788e357dffde0b52112fc5569f67b97,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,Abdus Salam Azad; Izzeddin Gur; Jasper Emhoff; Nathaniel Alexis; Aleksandra Faust; Pieter Abbeel; Ion Stoica,2023,Proceedings of the 40th International Conference on Machine Learning,NR,https://proceedings.mlr.press/v202/azad23a.html,conference paper
A-C0020-04,C0020,b61f927a5a663482bf5e49a24c56d0d780f583943f7c31b622d69f5b85327f3c,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart J. Russell; Andrew Critch; Sergey Levine,2020,Advances in Neural Information Processing Systems 33,NR,https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html,conference paper
A-C0024-04,C0024,d57d8adccb7cea6b3ac9988c958b2061273cc8aef007cac992ed3fb9cb4202cb,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,Timo Blattner;Christian Birchler;Timo Kehrer;Sebastiano Panichella,2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,10.1145/3643659.3643926,https://doi.org/10.1145/3643659.3643926,conference paper
A-C0027-04,C0027,c7a52ccc5b0040e1b4ece834ad60d6529eed434dae20a18a1dedaabf03984091,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,Yueqian Liu,2024,arXiv,10.48550/arxiv.2411.04246,https://arxiv.org/abs/2411.04246,preprint
A-C0029-04,C0029,fcc4f350d129edd81597a943bbdec75f57b1ce3a543499fc454bbdd818d789d2,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Outracing champion Gran Turismo drivers with deep reinforcement learning,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,2022,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7,journal article
A-C0036-04,C0036,c82afccacc16588c4e540a6bcb92322ce1a490163c0aa065deba209ea5d09a64,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,Paul A. Theodosis; J. Christian Gerdes,2011,"ASME 2011 Dynamic Systems and Control Conference and Bath/ASME Symposium on Fluid Power and Motion Control, Volume 2",10.1115/dscc2011-6097,https://doi.org/10.1115/DSCC2011-6097,conference paper
A-C0038-04,C0038,0a8abaeab14507cdb10647da0d42db12823cabb08971166639b484fc5e91c223,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Minimum curvature trajectory planning and control for an autonomous race car,Alexander Heilmeier; Alexander Wischnewski; Leonhard Hermansdorfer; Johannes Betz; Markus Lienkamp; Boris Lohmann,2020,Vehicle System Dynamics,10.1080/00423114.2019.1631455,https://doi.org/10.1080/00423114.2019.1631455,journal article
A-C0039-04,C0039,b08cef3c5eae8e25cdcae696506f4d6e508c43159f92302a34bc3f0f94c131c2,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Optimization of the Driving Line on a Race Track,Martin Mühlmeier; Norbert Müller,2002,Motorsports Engineering Conference & Exhibition,10.4271/2002-01-3339,https://doi.org/10.4271/2002-01-3339,conference technical paper
A-C0047-04,C0047,f33b51acde4e2c40965906a355a94ac6ce6e3fb845f8d57c030485612261e37d,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,ChickenKorma/Track-Generator,ChickenKorma,2022,GitHub repository,NR,https://github.com/ChickenKorma/Track-Generator,software repository
A-C0052-04,C0052,87afe8ec0c19912b0f2403b1e2fecdaaf736e60c3343505f0e3dea7795b8203b,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Procedural modeling of cities,Yoav I. H. Parish; Pascal Müller,2001,Proceedings of the 28th annual conference on Computer graphics and interactive techniques,10.1145/383259.383292,https://doi.org/10.1145/383259.383292,conference paper
A-C0056-04,C0056,119d103262b8a49678c08a4ce448423ab951fed69389e7c612071abc96aa4214,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,On the minimum ropelength of knots and links,Jason Cantarella; Robert B. Kusner; John M. Sullivan,2002,Inventiones mathematicae,10.1007/s00222-002-0234-y,https://link.springer.com/article/10.1007/s00222-002-0234-y,journal article
A-C0058-04,C0058,44754f91984afb226b98c600c733e71d55bb97264e2b83daacd3ba264990b301,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,Lasse Henrich;Falko Kötter,2025,IEEE Transactions on Games,10.1109/tg.2025.3561107,https://doi.org/10.1109/tg.2025.3561107,journal article
A-C0060-04,C0060,61f56e281ef81d232a214e95632ec86d8c147fc8464dfa87dd60fe3581955736,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Position Based Dynamics,Matthias Müller; Bruno Heidelberger; Marcus Hennix; John Ratcliff,2007,Journal of Visual Communication and Image Representation,10.1016/j.jvcir.2007.01.005,https://doi.org/10.1016/j.jvcir.2007.01.005,journal article
A-C0067-04,C0067,c39adc925b4d6902ffce2dd5a547410862cbbd253f8a302a910ab5a858f0f9a8,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Towards automatic personalised content creation for racing games,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2007,2007 IEEE Symposium on Computational Intelligence and Games,10.1109/cig.2007.368106,https://doi.org/10.1109/cig.2007.368106,conference paper
A-C0069-04,C0069,39d6225597e9e17c77de4676f0721b32700e771b74a85042611cad9343e69bc5,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,screening-04,main,Experience-Driven Procedural Content Generation,Georgios N. Yannakakis; Julian Togelius,2011,IEEE Transactions on Affective Computing,10.1109/t-affc.2011.6,https://doi.org/10.1109/T-AFFC.2011.6,journal article
