candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0004,55096cbf5ac5df9f6a9ae3d10aed070c84bcaa7aad60fa3eefa533da497cf0f5,metadata-01,X1003BFC5B77A,authors,Barthet et al.,Matthew Barthet; Diogo Branco; Roberto Gallotta; Ahmed Khalifa; Georgios N. Yannakakis,Matthew Barthet;Diogo Branco;Roberto Gallotta;Ahmed Khalifa;Georgios N. Yannakakis,publisher::https://ieeexplore.ieee.org/document/10970325/
C0004,55096cbf5ac5df9f6a9ae3d10aed070c84bcaa7aad60fa3eefa533da497cf0f5,metadata-01,X3BA67F30AED0,url,https://arxiv.org/abs/2408.06346,https://doi.org/10.1109/ACII63134.2024.00034; https://arxiv.org/abs/2408.06346,https://doi.org/10.1109/acii63134.2024.00034,doi::https://doi.org/10.1109/acii63134.2024.00034;publisher::https://ieeexplore.ieee.org/document/10970325/
C0014,e95cc1087aa88ac1ca5af4a19a183daed73a67ddc1b22b073996e35ebfad7924,metadata-01,X414C002392EB,authors,Florian Klueck; Lorenz Klampfl; Franz Wotawa,Klueck; Klampfl; Wotawa,Florian Klück;Lorenz Klampfl;Franz Wotawa,preprint_repository::https://arxiv.org/abs/2103.01288
C0023,4b42ded7fc6ca9fa03b8476beac5f6879bbfec5442321994486f7005ffcdc0a0,metadata-01,XD245FDCBC17F,venue,Proceedings of ESEC/FSE 2020,Proceedings of the 28th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE),Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730
C0023,4b42ded7fc6ca9fa03b8476beac5f6879bbfec5442321994486f7005ffcdc0a0,metadata-01,X2F0B6FF50DAD,url,https://arxiv.org/abs/2007.02787,https://doi.org/10.1145/3368089.3409730,https://doi.org/10.1145/3368089.3409730,doi::https://doi.org/10.1145/3368089.3409730;publisher::https://dl.acm.org/doi/10.1145/3368089.3409730
C0023,4b42ded7fc6ca9fa03b8476beac5f6879bbfec5442321994486f7005ffcdc0a0,metadata-01,XF9692CB14421,url,https://arxiv.org/abs/2007.02787,https://doi.org/10.1145/3368089.3409730; https://arxiv.org/abs/2007.02787,https://doi.org/10.1145/3368089.3409730,doi::https://doi.org/10.1145/3368089.3409730;publisher::https://dl.acm.org/doi/10.1145/3368089.3409730
C0023,4b42ded7fc6ca9fa03b8476beac5f6879bbfec5442321994486f7005ffcdc0a0,metadata-01,X07B6B8CB0D2D,source_type,conference paper; official artifact,paper,conference paper,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730
C0024,34df2672bdcffc15a2a4e6f1a6d5b55a3c62c92ec6f7a84206788445c8d13e89,metadata-01,X655C0A0608D3,venue,46th IEEE/ACM International Conference on Software Engineering (ICSE),arXiv,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926
C0024,34df2672bdcffc15a2a4e6f1a6d5b55a3c62c92ec6f7a84206788445c8d13e89,metadata-01,XD7E14F37FDA2,source_type,conference paper; official artifact,paper,conference paper,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926
C0058,fb8c09b3bb90b3ec3ccde397203c794b62f6e10c660e16350d056f661562f5e2,metadata-01,XDDC1F2D3E974,authors,Henrich; Koetter,Lasse Henrich; Falko Koetter,Lasse Henrich;Falko Kötter,publisher::https://ieeexplore.ieee.org/document/10965488/
