candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0003,5ee5b3fb1a8499d15db8aa9bf62ed8d91ab2c80e0076c7ff0e773b1e3530248a,metadata-06,XDBA5F65BEA06,title,Interactive Track Generator for TORCS and Speed Dreams,TrackGen: An interactive track generator for TORCS and Speed-Dreams,TrackGen: An interactive track generator for TORCS and Speed-Dreams,publisher::https://www.sciencedirect.com/science/article/pii/S1568494614005705
C0003,5ee5b3fb1a8499d15db8aa9bf62ed8d91ab2c80e0076c7ff0e773b1e3530248a,metadata-06,X74541EDFB3BB,source_type,paper,software,journal article,publisher::https://www.sciencedirect.com/science/article/pii/S1568494614005705
C0008,de6c3c7216e0c31515106471fa1ab2b18c7ff58a20e8571303b5cb404f3e6414,metadata-06,X64D080A5D5B9,authors,Ikram; Muktadir; Whitehead,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,publisher::https://ieeexplore.ieee.org/document/10186533/;preprint_repository::https://arxiv.org/abs/2303.17900
C0008,de6c3c7216e0c31515106471fa1ab2b18c7ff58a20e8571303b5cb404f3e6414,metadata-06,X8BE6D9BDA923,url,https://arxiv.org/abs/2303.17900,https://doi.org/10.1109/IV55152.2023.10186533; https://arxiv.org/abs/2303.17900,https://doi.org/10.1109/iv55152.2023.10186533,doi::https://doi.org/10.1109/iv55152.2023.10186533
C0012,7b7c21f7442ae1cbc47930f7c7d3bc1f54fd78165e3b6ae9a1686ddfce219f45,metadata-06,XF8DBBBF6F664,authors,Alyaseri; Conner,Sana Alyaseri; Andy Conner,Sana Alyaseri; Andy Conner,publisher::https://www.igi-global.com/article/comparative-analysis-of-metaheuristic-algorithms-for-procedural-race-track-generation-in-games/350330
C0012,7b7c21f7442ae1cbc47930f7c7d3bc1f54fd78165e3b6ae9a1686ddfce219f45,metadata-06,X87967FA77E43,authors,Alyaseri; Conner,Sana Alyaseri; Andy M. Connor,Sana Alyaseri; Andy Conner,publisher::https://www.igi-global.com/article/comparative-analysis-of-metaheuristic-algorithms-for-procedural-race-track-generation-in-games/350330
C0012,7b7c21f7442ae1cbc47930f7c7d3bc1f54fd78165e3b6ae9a1686ddfce219f45,metadata-06,X49B0671427FE,venue,International Journal of Applied Metaheuristic Computing,International Journal of Applied Metaheuristic Computing 15(1),International Journal of Applied Metaheuristic Computing,publisher::https://www.igi-global.com/article/comparative-analysis-of-metaheuristic-algorithms-for-procedural-race-track-generation-in-games/350330;publisher::https://www.igi-global.com/journal-contents/international-journal-applied-metaheuristic-computing/1139
C0012,7b7c21f7442ae1cbc47930f7c7d3bc1f54fd78165e3b6ae9a1686ddfce219f45,metadata-06,X1ECEB618C254,url,https://doi.org/10.4018/IJAMC.350330,https://doi.org/10.4018/ijamc.350330,https://doi.org/10.4018/ijamc.350330,doi::https://doi.org/10.4018/ijamc.350330
C0012,7b7c21f7442ae1cbc47930f7c7d3bc1f54fd78165e3b6ae9a1686ddfce219f45,metadata-06,X9D78AE994FCE,source_type,journal article,paper,journal article,publisher::https://www.igi-global.com/article/comparative-analysis-of-metaheuristic-algorithms-for-procedural-race-track-generation-in-games/350330
C0019,56c11d7a34b9e8f3825b1712eb1af43c96e307df655a6173fd3d6d31ac7d10fb,metadata-06,XD555415ACA35,authors,Jiang et al.,Minqi Jiang; Edward Grefenstette; Tim Rocktaeschel,Minqi Jiang; Edward Grefenstette; Tim Rocktäschel,proceedings::https://proceedings.mlr.press/v139/jiang21b.html
