candidate_id,input_sha256,agent_id,verified_on,metadata_status,title,authors,year,venue,doi,url,source_type,title_evidence,authors_evidence,year_evidence,venue_evidence,doi_evidence,url_evidence,source_type_evidence,bib_entry_type,bib_venue_field,bib_url,key_author,author_kinds,notes
C0004,55096cbf5ac5df9f6a9ae3d10aed070c84bcaa7aad60fa3eefa533da497cf0f5,metadata-01,2026-06-30,verified,Closing the Affective Loop via Experience-Driven Reinforcement Learning Designers,Matthew Barthet;Diogo Branco;Roberto Gallotta;Ahmed Khalifa;Georgios N. Yannakakis,2024,2024 12th International Conference on Affective Computing and Intelligent Interaction (ACII),10.1109/acii63134.2024.00034,https://doi.org/10.1109/acii63134.2024.00034,conference paper,publisher::https://ieeexplore.ieee.org/document/10970325/,publisher::https://ieeexplore.ieee.org/document/10970325/,publisher::https://ieeexplore.ieee.org/document/10970325/,publisher::https://ieeexplore.ieee.org/document/10970325/,doi::https://doi.org/10.1109/acii63134.2024.00034;publisher::https://ieeexplore.ieee.org/document/10970325/,doi::https://doi.org/10.1109/acii63134.2024.00034;publisher::https://ieeexplore.ieee.org/document/10970325/,publisher::https://ieeexplore.ieee.org/document/10970325/,inproceedings,booktitle,https://doi.org/10.1109/acii63134.2024.00034,Barthet,personal;personal;personal;personal;personal,Version of record verified; the accessible preprint is arXiv:2408.06346.
C0005,3065f34a1d03b508cef45a6f9fafa3f6e2ea3920e148ad5f02b6d25514ea18a5,metadata-01,2026-06-30,verified,Solid-Rally-Plus,Matthew Barthet,2023,Official GitHub repository,NR,https://github.com/DiogoAABranco/Solid-Rally-Plus,software,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus,official_repository::https://github.com/Matt-Barthet;official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus/blob/main/LICENSE,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus/blob/main/LICENSE,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus,NR,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus,misc,howpublished,https://github.com/DiogoAABranco/Solid-Rally-Plus,Barthet,personal,The generic Solid Rally label maps to the paper authors' MIT-licensed Solid-Rally-Plus repository; its 2023 license credits Matt-Barthet and no DOI is supplied.
C0007,3b5c2e66abf8204737e05e9bd9f4ebda091a29eea2b036d6867cd047f49d0a64,metadata-01,2026-06-30,verified,ASAM OpenDRIVE,ASAM e.V.,2026,ASAM,NR,https://www.asam.net/standards/detail/opendrive/,standard,official_standard::https://www.asam.net/standards/detail/opendrive/,official_standard::https://www.asam.net/standards/detail/opendrive/,official_standard::https://www.asam.net/standards/detail/opendrive/,official_standard::https://www.asam.net/standards/detail/opendrive/,NR,official_standard::https://www.asam.net/standards/detail/opendrive/,official_standard::https://www.asam.net/standards/detail/opendrive/,misc,howpublished,https://www.asam.net/standards/detail/opendrive/,ASAM,corporate,The generic standard record maps to the ASAM OpenDRIVE family page; current version 1.9.0 was released 19 May 2026 and ASAM supplies no DOI.
C0014,e95cc1087aa88ac1ca5af4a19a183daed73a67ddc1b22b073996e35ebfad7924,metadata-01,2026-06-30,verified,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint,preprint_repository::https://arxiv.org/abs/2103.01288,preprint_repository::https://arxiv.org/abs/2103.01288,preprint_repository::https://arxiv.org/abs/2103.01288,preprint_repository::https://arxiv.org/abs/2103.01288,doi::https://doi.org/10.48550/arxiv.2103.01288;preprint_repository::https://arxiv.org/abs/2103.01288,preprint_repository::https://arxiv.org/abs/2103.01288,preprint_repository::https://arxiv.org/abs/2103.01288,misc,howpublished,https://arxiv.org/abs/2103.01288,Klück,personal;personal;personal,No version of record was identified; verified as an arXiv-only preprint with its arXiv-issued DOI.
C0023,4b42ded7fc6ca9fa03b8476beac5f6879bbfec5442321994486f7005ffcdc0a0,metadata-01,2026-06-30,verified,Model-based exploration of the frontier of behaviours for deep learning system testing,Vincenzo Riccio;Paolo Tonella,2020,Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3409730,https://doi.org/10.1145/3368089.3409730,conference paper,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,doi::https://doi.org/10.1145/3368089.3409730;publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,doi::https://doi.org/10.1145/3368089.3409730;publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,publisher::https://dl.acm.org/doi/10.1145/3368089.3409730,inproceedings,booktitle,https://doi.org/10.1145/3368089.3409730,Riccio,personal;personal,ACM version of record verified; the accessible preprint is arXiv:2007.02787.
C0024,34df2672bdcffc15a2a4e6f1a6d5b55a3c62c92ec6f7a84206788445c8d13e89,metadata-01,2026-06-30,verified,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,Timo Blattner;Christian Birchler;Timo Kehrer;Sebastiano Panichella,2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,10.1145/3643659.3643926,https://doi.org/10.1145/3643659.3643926,conference paper,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,doi::https://doi.org/10.1145/3643659.3643926;publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,doi::https://doi.org/10.1145/3643659.3643926;publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,publisher::https://dl.acm.org/doi/10.1145/3643659.3643926,inproceedings,booktitle,https://doi.org/10.1145/3643659.3643926,Blattner,personal;personal;personal;personal,The ACM SBFT version of record supersedes the provisional arXiv DOI and venue; arXiv:2401.14682 remains accessible.
C0028,318a8e4aa01411eebe50ed5f5baac4d56fafda2dd96d0cc895c3f3e1b4a2f064,metadata-01,2026-06-30,verified,Isaac Gym,NVIDIA Corporation,2020,NVIDIA Developer,NR,https://developer.nvidia.com/isaac-gym,simulator software,official_documentation::https://developer.nvidia.com/isaac-gym,official_documentation::https://developer.nvidia.com/isaac-gym,official_release::https://developer.nvidia.com/blog/introducing-isaac-gym-rl-for-robotics/,official_documentation::https://developer.nvidia.com/isaac-gym,NR,official_documentation::https://developer.nvidia.com/isaac-gym,official_documentation::https://developer.nvidia.com/isaac-gym,misc,howpublished,https://developer.nvidia.com/isaac-gym,NVIDIA,corporate,NVIDIA announced the preview on 17 December 2020; the official page now marks Isaac Gym as deprecated legacy software and provides no DOI.
C0040,74481e64af591c0a32ae4e974a061eeaa4aa770a48f0fb5017ffb1f2f6a825d8,metadata-01,2026-06-30,verified,Searching for the optimal racing line using genetic algorithms,Luigi Cardamone;Daniele Loiacono;Pier Luca Lanzi;Alessandro Pietro Bardelli,2010,Proceedings of the 2010 IEEE Conference on Computational Intelligence and Games,10.1109/itw.2010.5593330,https://doi.org/10.1109/itw.2010.5593330,conference paper,publisher::https://ieeexplore.ieee.org/document/5593330/,publisher::https://ieeexplore.ieee.org/document/5593330/,publisher::https://ieeexplore.ieee.org/document/5593330/,publisher::https://ieeexplore.ieee.org/document/5593330/,doi::https://doi.org/10.1109/itw.2010.5593330;publisher::https://ieeexplore.ieee.org/document/5593330/,doi::https://doi.org/10.1109/itw.2010.5593330;publisher::https://ieeexplore.ieee.org/document/5593330/,publisher::https://ieeexplore.ieee.org/document/5593330/,inproceedings,booktitle,https://doi.org/10.1109/itw.2010.5593330,Cardamone,personal;personal;personal;personal,IEEE conference version of record verified with complete ordered authors.
C0043,cad88cd8ee8980b12b99ae8f227f07c8aa4d21471689e69856f1d4f85011b444,metadata-01,2026-06-30,verified,Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps,Nitin R. Kapania;J. Christian Gerdes,2020,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.2998065,https://doi.org/10.1109/tvt.2020.2998065,journal article,publisher::https://ieeexplore.ieee.org/document/9102440/,publisher::https://ieeexplore.ieee.org/document/9102440/,publisher::https://ieeexplore.ieee.org/document/9102440/,publisher::https://ieeexplore.ieee.org/document/9102440/,doi::https://doi.org/10.1109/tvt.2020.2998065;publisher::https://ieeexplore.ieee.org/document/9102440/,doi::https://doi.org/10.1109/tvt.2020.2998065;publisher::https://ieeexplore.ieee.org/document/9102440/,publisher::https://ieeexplore.ieee.org/document/9102440/,article,journal,https://doi.org/10.1109/tvt.2020.2998065,Kapania,personal;personal,The frozen title was abbreviated; the full IEEE journal title is retained.
C0058,fb8c09b3bb90b3ec3ccde397203c794b62f6e10c660e16350d056f661562f5e2,metadata-01,2026-06-30,verified,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,Lasse Henrich;Falko Kötter,2025,IEEE Transactions on Games,10.1109/tg.2025.3561107,https://doi.org/10.1109/tg.2025.3561107,journal article,publisher::https://ieeexplore.ieee.org/document/10965488/,publisher::https://ieeexplore.ieee.org/document/10965488/,publisher::https://ieeexplore.ieee.org/document/10965488/,publisher::https://ieeexplore.ieee.org/document/10965488/,doi::https://doi.org/10.1109/tg.2025.3561107;publisher::https://ieeexplore.ieee.org/document/10965488/,doi::https://doi.org/10.1109/tg.2025.3561107;publisher::https://ieeexplore.ieee.org/document/10965488/,publisher::https://ieeexplore.ieee.org/document/10965488/,article,journal,https://doi.org/10.1109/tg.2025.3561107,Henrich,personal;personal,IEEE volume 17 issue 4 verified; the venue field retains the journal title and the DOI URL is canonicalized to lowercase.
C0062,e4c89594e1e71e6511fd48beca9f24c7261bebf01a00ba0a48e51a99ca42e0d3,metadata-01,2026-06-30,verified,Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics,Fei Liu;Entong Su;Jingpei Lu;Mingen Li;Michael C. Yip,2023,IEEE Robotics and Automation Letters,10.1109/lra.2023.3264766,https://doi.org/10.1109/lra.2023.3264766,journal article,publisher::https://ieeexplore.ieee.org/document/10093017/,publisher::https://ieeexplore.ieee.org/document/10093017/,publisher::https://ieeexplore.ieee.org/document/10093017/,publisher::https://ieeexplore.ieee.org/document/10093017/,doi::https://doi.org/10.1109/lra.2023.3264766;publisher::https://ieeexplore.ieee.org/document/10093017/,doi::https://doi.org/10.1109/lra.2023.3264766;publisher::https://ieeexplore.ieee.org/document/10093017/,publisher::https://ieeexplore.ieee.org/document/10093017/,article,journal,https://doi.org/10.1109/lra.2023.3264766,Liu,personal;personal;personal;personal;personal,The 2023 RA-L version of record has a revised title relative to the 2022 arXiv preprint 2202.09714.
C0064,249dd9d04b3c86e0dfeb0f17e27b3e39ba3565a80f859178adb7455928193eab,metadata-01,2026-06-30,verified,Warp: A High-performance Python Framework for GPU Simulation and Graphics,Miles Macklin,2022,NVIDIA GPU Technology Conference (GTC),NR,https://github.com/NVIDIA/warp,software,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,NR,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,citation_cff::https://github.com/NVIDIA/warp/blob/main/CITATION.cff,misc,howpublished,https://github.com/NVIDIA/warp,Macklin,personal,The official CITATION.cff gives release date 1 March 2022 and a GTC preferred citation but supplies no DOI.
C0074,74bb2997ec5256c01894ec16ca385c9d8941eb6e6a42bdca4359c3c7b07fceff,metadata-01,2026-06-30,verified,Deep Drone Racing: From Simulation to Reality With Domain Randomization,Antonio Loquercio;Elia Kaufmann;René Ranftl;Alexey Dosovitskiy;Vladlen Koltun;Davide Scaramuzza,2020,IEEE Transactions on Robotics,10.1109/tro.2019.2942989,https://doi.org/10.1109/tro.2019.2942989,journal article,publisher::https://ieeexplore.ieee.org/document/8877728/,publisher::https://ieeexplore.ieee.org/document/8877728/,publisher::https://ieeexplore.ieee.org/document/8877728/,publisher::https://ieeexplore.ieee.org/document/8877728/,doi::https://doi.org/10.1109/tro.2019.2942989;publisher::https://ieeexplore.ieee.org/document/8877728/,doi::https://doi.org/10.1109/tro.2019.2942989;publisher::https://ieeexplore.ieee.org/document/8877728/,publisher::https://ieeexplore.ieee.org/document/8877728/,article,journal,https://doi.org/10.1109/tro.2019.2942989,Loquercio,personal;personal;personal;personal;personal;personal,The IEEE journal issue is dated 2020; the DOI and arXiv preprint first appeared in 2019.
C0078,36d22dc13f94bd9f996791a90f00b7e84ee61324ed9ee560ea4479c2c11ade57,metadata-01,2026-06-30,verified,MPCC++: Model Predictive Contouring Control for Time-Optimal Flight with Safety Constraints,Maria Krinner;Angel Romero;Leonard Bauersfeld;Melanie Zeilinger;Andrea Carron;Davide Scaramuzza,2024,Robotics: Science and Systems XX,10.15607/rss.2024.xx.109,https://doi.org/10.15607/rss.2024.xx.109,conference paper,proceedings::https://www.roboticsproceedings.org/rss20/p109.html,proceedings::https://www.roboticsproceedings.org/rss20/p109.html,proceedings::https://www.roboticsproceedings.org/rss20/p109.html,proceedings::https://www.roboticsproceedings.org/rss20/p109.html,doi::https://doi.org/10.15607/rss.2024.xx.109;proceedings::https://www.roboticsproceedings.org/rss20/p109.html,doi::https://doi.org/10.15607/rss.2024.xx.109;proceedings::https://www.roboticsproceedings.org/rss20/p109.html,proceedings::https://www.roboticsproceedings.org/rss20/p109.html,inproceedings,booktitle,https://doi.org/10.15607/rss.2024.xx.109,Krinner,personal;personal;personal;personal;personal;personal,Official RSS XX proceedings record and DOI verified.
C0079,cf38e5a75a9155d31049e1645458f6091b4667ac33d680783a5d09575d0704a9,metadata-01,2026-06-30,verified,Deep Latent Competition: Learning to Race Using Visual Control Policies in Latent Space,Wilko Schwarting;Tim Seyde;Igor Gilitschenski;Lucas Liebenwein;Ryan Sander;Sertac Karaman;Daniela Rus,2021,Proceedings of the 2020 Conference on Robot Learning,NR,https://proceedings.mlr.press/v155/schwarting21a.html,conference paper,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,NR,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,proceedings::https://proceedings.mlr.press/v155/schwarting21a.html,inproceedings,booktitle,https://proceedings.mlr.press/v155/schwarting21a.html,Schwarting,personal;personal;personal;personal;personal;personal;personal,PMLR volume 155 is the stable proceedings record and supplies no DOI.
C0085,d39b604a9f3aaaa600439affec3be7a1b544beded2c827a72a5058599678c3ac,metadata-01,2026-06-30,verified,Optimization-based autonomous racing of 1:43 scale RC cars,Alexander Liniger;Alexander Domahidi;Manfred Morari,2015,Optimal Control Applications and Methods,10.1002/oca.2123,https://doi.org/10.1002/oca.2123,journal article,publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,doi::https://doi.org/10.1002/oca.2123;publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,doi::https://doi.org/10.1002/oca.2123;publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,publisher::https://onlinelibrary.wiley.com/doi/10.1002/oca.2123,article,journal,https://doi.org/10.1002/oca.2123,Liniger,personal;personal;personal,The bibliographic year is the 2015 print issue; Wiley lists online-first in 2014 and the accessible arXiv posting is from 2017.
C0088,a8c577a05710537f4c567916b8ef0dad1c5e901656d1064d7ccc7cd669725897,metadata-01,2026-06-30,verified,Indy Autonomous Challenge,Indy Autonomous Challenge,NR,Official competition website,NR,https://www.indyautonomouschallenge.com/,competition,official_organizer::https://www.indyautonomouschallenge.com/,official_organizer::https://www.indyautonomouschallenge.com/,NR,official_organizer::https://www.indyautonomouschallenge.com/,NR,official_organizer::https://www.indyautonomouschallenge.com/,official_organizer::https://www.indyautonomouschallenge.com/,misc,howpublished,https://www.indyautonomouschallenge.com/,IndyAutonomousChallenge,corporate,This is an ongoing organizer-maintained competition site with no single canonical publication year or DOI.
C0089,ced551625b6c1ec425dd7d700b047d1fece932db42976d0567eb0a056cb63cda,metadata-01,2026-06-30,verified,AutoRally: An Open Platform for Aggressive Autonomous Driving,Brian Goldfain;Paul Drews;Changxi You;Matthew Barulic;Orlin Velev;Panagiotis Tsiotras;James M. Rehg,2019,IEEE Control Systems,10.1109/mcs.2018.2876958,https://doi.org/10.1109/mcs.2018.2876958,journal article,publisher::https://ieeexplore.ieee.org/document/8616931/,publisher::https://ieeexplore.ieee.org/document/8616931/,publisher::https://ieeexplore.ieee.org/document/8616931/,publisher::https://ieeexplore.ieee.org/document/8616931/,doi::https://doi.org/10.1109/mcs.2018.2876958;publisher::https://ieeexplore.ieee.org/document/8616931/,doi::https://doi.org/10.1109/mcs.2018.2876958;publisher::https://ieeexplore.ieee.org/document/8616931/,publisher::https://ieeexplore.ieee.org/document/8616931/,article,journal,https://doi.org/10.1109/mcs.2018.2876958,Goldfain,personal;personal;personal;personal;personal;personal;personal,The version of record is the February 2019 IEEE Control Systems article; its DOI was registered in 2018.
C0092,574b4df27f2a859842f4a27d7cfdb7c5b4e2f5c4708e30b014c74ab03e4e2cfc,metadata-01,2026-06-30,verified,Learning Model Predictive Control with Error Dynamics Regression for Autonomous Racing,Haoru Xue;Edward L. Zhu;John M. Dolan;Francesco Borrelli,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611628,https://doi.org/10.1109/icra57147.2024.10611628,conference paper,publisher::https://ieeexplore.ieee.org/document/10611628/,publisher::https://ieeexplore.ieee.org/document/10611628/,publisher::https://ieeexplore.ieee.org/document/10611628/,publisher::https://ieeexplore.ieee.org/document/10611628/,doi::https://doi.org/10.1109/icra57147.2024.10611628;publisher::https://ieeexplore.ieee.org/document/10611628/,doi::https://doi.org/10.1109/icra57147.2024.10611628;publisher::https://ieeexplore.ieee.org/document/10611628/,publisher::https://ieeexplore.ieee.org/document/10611628/,inproceedings,booktitle,https://doi.org/10.1109/icra57147.2024.10611628,Xue,personal;personal;personal;personal,The 2024 ICRA version of record supersedes the 2023 arXiv preprint year.
