candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0016,68effb52b340a29ea51975f43496b27789d65975013d58d4c1d28a4564725f34,metadata-04,XFE74BE687E1D,title,Replay-Guided Adversarial Environment Design,Replay-Guided Adversarial Environment Design / REPAIRED,Replay-Guided Adversarial Environment Design,proceedings::https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0016,68effb52b340a29ea51975f43496b27789d65975013d58d4c1d28a4564725f34,metadata-04,X395640EFEE30,authors,Jiang et al.,Minqi Jiang; Michael Dennis; Jack Parker-Holder; Jakob Foerster; Edward Grefenstette; Tim Rocktaeschel,Minqi Jiang; Michael Dennis; Jack Parker-Holder; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,proceedings::https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0016,68effb52b340a29ea51975f43496b27789d65975013d58d4c1d28a4564725f34,metadata-04,X60D3CEBA876A,venue,Advances in Neural Information Processing Systems 34,NeurIPS,Advances in Neural Information Processing Systems 34,proceedings::https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0016,68effb52b340a29ea51975f43496b27789d65975013d58d4c1d28a4564725f34,metadata-04,X3986B362ABE1,url,https://arxiv.org/abs/2110.02439,https://arxiv.org/abs/2110.02439; https://github.com/facebookresearch/dcd,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html,proceedings::https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0020,bab8cc9145247cec56925555e48134e0eab6f37f6c16db62662544991de351f3,metadata-04,X202C1070B8E7,title,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design / PAIRED,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,proceedings::https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html
C0020,bab8cc9145247cec56925555e48134e0eab6f37f6c16db62662544991de351f3,metadata-04,XB9C08C9AD0B7,authors,Dennis et al.,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart Russell; Andrew Critch; Sergey Levine,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart J. Russell; Andrew Critch; Sergey Levine,proceedings::https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html
C0020,bab8cc9145247cec56925555e48134e0eab6f37f6c16db62662544991de351f3,metadata-04,X981F8813BD30,url,https://arxiv.org/abs/2012.02096,https://arxiv.org/abs/2012.02096; https://github.com/facebookresearch/dcd,https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html,proceedings::https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html
C0021,591986661e438dc5dbbde535dd6db9688107dff7c3a1fc9464361826958bca56,metadata-04,X5DF2AAA78236,title,Evolving Curricula with Regret-Based Environment Design,Evolving Curricula with Regret-Based Environment Design / ACCEL,Evolving Curricula with Regret-Based Environment Design,proceedings::https://proceedings.mlr.press/v162/parker-holder22a.html
C0021,591986661e438dc5dbbde535dd6db9688107dff7c3a1fc9464361826958bca56,metadata-04,X77D40762B876,authors,Jack Parker-Holder; Minqi Jiang; Michael Dennis; Mikayel Samvelyan; Jakob Foerster; Edward Grefenstette; Tim Rocktaeschel,Parker-Holder et al.,Jack Parker-Holder; Minqi Jiang; Michael Dennis; Mikayel Samvelyan; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,proceedings::https://proceedings.mlr.press/v162/parker-holder22a.html
C0021,591986661e438dc5dbbde535dd6db9688107dff7c3a1fc9464361826958bca56,metadata-04,X953BDC86D0EE,url,https://arxiv.org/abs/2203.01302,https://proceedings.mlr.press/v162/parker-holder22a.html; https://github.com/facebookresearch/dcd,https://proceedings.mlr.press/v162/parker-holder22a.html,proceedings::https://proceedings.mlr.press/v162/parker-holder22a.html
