candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0001,"TORCS - The Open Racing Car Simulator",https://sourceforge.net/projects/torcs/,unversioned@2026-07-03,official_evidence,NR,"Official project/source endpoint; no v8 archived artifact."
C0002,"Speed Dreams",https://forge.a-lec.org/speed-dreams/speed-dreams-code,unversioned@2026-07-03,official_evidence,NR,"Official code forge; no v8 archived artifact."
C0003,"TrackGen: An interactive track generator for TORCS and Speed-Dreams",https://doi.org/10.1016/j.asoc.2014.11.010,DOI-10.1016-j.asoc.2014.11.010,metadata_only,NR,"No v8 primary report; DOI/publisher record only."
C0004,"Closing the Affective Loop via Experience-Driven Reinforcement Learning Designers",https://doi.org/10.1109/acii63134.2024.00034,DOI-10.1109-acii63134.2024.00034,metadata_only,NR,"No v8 primary report; IEEE record only."
C0005,"Solid-Rally-Plus",https://github.com/DiogoAABranco/Solid-Rally-Plus,repository-HEAD@2026-07-03,official_evidence,NR,"Official repository; no v8 archived revision."
C0006,"Improving the Generalization of End-to-End Driving through Procedural Generation",https://arxiv.org/pdf/2012.13681,arXiv-2012.13681@2026-07-03,full_text,NR,"Public preprint endpoint; no v8 archived copy."
C0007,"ASAM OpenDRIVE",https://www.asam.net/standards/detail/opendrive/,unversioned@2026-07-03,official_evidence,NR,"Official standard landing page; specification text was not locally archived."
C0008,"Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing",https://arxiv.org/pdf/2303.17900,arXiv-2303.17900@2026-07-03,full_text,NR,"Public preprint endpoint; no v8 archived copy."
C0009,"Automatic Track Generation for High-End Racing Games Using Evolutionary Computation",https://ieeexplore.ieee.org/document/5975206/,IEEE-T-CIAIG-3-3-2011,full_text,paper/data/screening_staging/v8/calibration/screening-01-911be85ee54598aba3adfba5213c0ba9/v1/evidence/C0009/primary-report/C0009.pdf,"Archived primary PDF title and abstract match."
C0010,"Making Racing Fun Through Player Modeling and Track Evolution",https://web-archive.southampton.ac.uk/cogprints.org/5221/,CogPrints-5221,full_text,NR,"Public institutional-repository record; no v8 archived copy."
C0011,"Search-based Procedural Content Generation for Race Tracks in Video Games",https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf,IJEEI-8-4-2016,full_text,paper/data/screening_staging/v8/calibration/screening-03-f43f91731596f9b222880cc172632d8b/v1/evidence/C0011/primary-report/prasetya-2016-ijeei-8-4.pdf,"Archived journal PDF title and abstract match."
C0012,"Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games",https://doi.org/10.4018/ijamc.350330,DOI-10.4018-ijamc.350330,metadata_only,NR,"No v8 primary report; DOI/publisher record only."
C0013,"Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games",https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,SBGames-2021,full_text,NR,"Public proceedings PDF; no v8 archived copy."
C0014,"Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search",https://arxiv.org/pdf/2103.01288,arXiv-2103.01288@2026-07-03,full_text,NR,"Public preprint endpoint; no v8 archived copy."
C0015,"UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS)",https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,UN-Regulation-No-157-2021,official_evidence,paper/data/screening_staging/v8/calibration/screening-05-1f8ca2c42309605ded3fef7546a2f87f/v1/evidence/C0015/official-documentation/C0015.pdf,"Archived UNECE regulation is substantive official text."
C0016,"Replay-Guided Adversarial Environment Design",https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Paper.pdf,NeurIPS-2021,full_text,NR,"Public proceedings PDF; no v8 archived copy."
