candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
"C0155","Open-Ended Learning Strategies for Learning Complex Locomotion Skills","https://arxiv.org/abs/2206.06796","arXiv:2206.06796v1","full_text_public","NR","Preprint only; no local archive."
"C0156","FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing","https://arxiv.org/abs/2301.12738","arXiv:2301.12738","full_text_public","NR","Preprint record; no local archive."
"C0157","Sim-to-Real Deep Reinforcement Learning based Obstacle Avoidance for UAVs under Measurement Uncertainty","https://arxiv.org/abs/2303.07243","arXiv:2303.07243v1","full_text_public","NR","Preprint only; no local archive."
"C0158","DriveSceneGen: Generating Diverse and Realistic Driving Scenarios from Scratch","https://arxiv.org/abs/2309.14685","arXiv:2309.14685v2","full_text_public","NR","Public preprint version; no local archive."
"C0159","Reinforcement Learning for Collision-free Flight Exploiting Deep Collision Encoding","https://arxiv.org/abs/2402.03947","arXiv:2402.03947v1","full_text_public","NR","Author preprint of ICRA paper; no local archive."
"C0160","Learning Speed Adaptation for Flight in Clutter","https://arxiv.org/abs/2403.04586","arXiv:2403.04586v2","full_text_public","NR","Author preprint of RA-L paper; no local archive."
"C0161","Environment Curriculum Generation via Large Language Models","https://proceedings.mlr.press/v270/liang25a.html","PMLR 270 (2025)","full_text_public","NR","Proceedings source; no local archive."
"C0162","DiffRoad: Realistic and Diverse Road Scenario Generation for Autonomous Vehicle Testing","https://arxiv.org/abs/2411.09451","arXiv:2411.09451v1","full_text_public","NR","Preprint only; no local archive."
"C0163","RoadGen: Generating Road Scenarios for Autonomous Vehicle Testing","https://arxiv.org/abs/2411.19577","arXiv:2411.19577v1","full_text_public","NR","Preprint only; no local archive."
"C0164","GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control","https://arxiv.org/abs/2504.09997","arXiv:2504.09997v1","full_text_public","NR","Preprint only; no local archive."
"C0165","Mastering Diverse, Unknown, and Cluttered Tracks for Robust Vision-Based Drone Racing","https://arxiv.org/abs/2512.09571","arXiv:2512.09571v2","full_text_public","NR","Author preprint accepted to RA-L; no local archive."
"C0166","Curriculum Reinforcement Learning for Quadrotor Racing with Random Obstacles","https://arxiv.org/abs/2602.24030","arXiv:2602.24030v1","full_text_public","NR","Recent preprint; no local archive."
"C0167","Robot Squid Game: Quadrupedal Locomotion for Traversing Narrow Tunnels","https://arxiv.org/abs/2605.13665","arXiv:2605.13665v1","full_text_public","NR","Recent preprint; no local archive."
"C0168","2022 Maritime RobotX Challenge Team Handbook","https://robonation.org/app/uploads/sites/2/2022/10/2022-RobotX_Team-Handbook_v3.0.pdf","V3.0 (October 2022)","full_text_official","paper/data/source_archive/v7/C0168/robotx-2022-team-handbook-v3.pdf","Archive contains handbook PDF; competition specification rather than simulator source."
"C0169","ASAM OpenCRG 2.0.1","https://www.asam.net/standards/detail/opencrg/","2.0.1 (2026-05-19)","metadata_only_official","NR","Official page confirms version; standard download requires registration/details; no local archive."
"C0170","ASAM OpenDRIVE BS 1.8.1 Specification, 2024-11-21","https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html","BS 1.8.1 (2024-11-21)","full_text_official","NR","Versioned official HTML specification; no local archive."
"C0171","ASAM OpenDRIVE BS 1.9.0 Specification","https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.9.0/specification/index.html","BS 1.9.0 (2026-05-08)","full_text_official","NR","Versioned official HTML specification; no local archive."
"C0172","ASAM OpenSCENARIO XML BS 1.3.0 Specification, 2024-03-07","https://publications.pages.asam.net/standards/ASAM_OpenSCENARIO/ASAM_OpenSCENARIO_XML/v1.3.0/index.html","XML 1.3.0 Routes page","full_text_official","paper/data/source_archive/v7/C0172/openscenario-xml-v1.3.0-routes.html","Archive is one Routes page rather than the complete specification."
"C0173","BayesRace: Learning to race autonomously using prior experience","https://proceedings.mlr.press/v155/jain21b.html","PMLR 155 (2021)","full_text_public","paper/data/source_archive/v7/C0173/bayesrace-pmlr155-2021.pdf","Archive contains paper PDF; no implementation snapshot."
"C0175","CARLA Autonomous Driving Leaderboard 2.0","https://leaderboard.carla.org/get_started_v2_0/","source commit a87a3419","full_text_official","paper/data/source_archive/v7/C0175/leaderboard-a87a3419.tar.gz","Archive is a source commit snapshot rather than a tagged Leaderboard 2.0 release."
"C0176","CommonRoad Scenario Designer: An Open-Source Toolbox for Map Conversion and Scenario Creation for Autonomous Vehicles","https://mediatum.ub.tum.de/doc/1624607/1624607.pdf","ITSC 2021; DOI 10.1109/itsc48978.2021.9564885","full_text_public","NR","University-hosted author copy; no local archive."
"C0177","Enhanced POET: Open-ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions","https://proceedings.mlr.press/v119/wang20l.html","PMLR 119 (2020)","full_text_public","paper/data/source_archive/v7/C0177/wang-2020-pmlr119.pdf","Archive contains paper PDF; no implementation snapshot."
"C0178","EUFS maps","https://gitlab.com/eufs/public/eufs_maps","GitLab default branch","full_text_official","NR","Mutable repository branch; no local archive or commit pin."
