candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0052,"Procedural modeling of cities",https://dl.acm.org/doi/10.1145/383259.383292,"publisher record checked 2026-07-03",metadata-only,NR,"No local full text; ACM record used for bibliographic evidence."
C0053,"ArcGIS CityEngine",https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,"official web checked 2026-07-03",official-web-evidence,NR,"Current product overview; no versioned local documentation snapshot."
C0054,"Interactive procedural street modeling",https://dl.acm.org/doi/10.1145/1360612.1360702,"publisher record checked 2026-07-03",metadata-only,NR,"No local full text; ACM record used for bibliographic evidence."
C0055,"Global Curvature, Thickness, and the Ideal Shapes of Knots",https://pmc.ncbi.nlm.nih.gov/articles/PMC21766/,"PMC full text checked 2026-07-03",public-full-text,NR,"PMC full text verified; no local archive copy."
C0056,"On the minimum ropelength of knots and links",https://link.springer.com/article/10.1007/s00222-002-0234-y,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0057,"Repulsive Curves",https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/,"author project PDF checked 2026-07-03",public-full-text,NR,"Author project page exposes the paper PDF; no local archive copy."
C0058,"From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves",https://ieeexplore.ieee.org/document/10965488/,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0059,"Tangent-point energies and ropelength as Gamma-limits of discrete tangent-point energies on biarc curves",https://arxiv.org/abs/2203.16383,"arXiv:2203.16383 checked 2026-07-03",public-full-text,NR,"Public preprint verified; it may differ from the journal version."
C0060,"Position Based Dynamics",https://matthias-research.github.io/pages/publications/posBasedDyn.pdf,"author PDF checked 2026-07-03",public-full-text,NR,"Author-hosted PDF verified; no local archive copy."
C0061,"XPBD: Position-Based Simulation of Compliant Constrained Dynamics",https://dl.acm.org/doi/10.1145/2994258.2994272,"archive v7; MiG 2016 PDF",local-full-text,/home/antoiner/Documents/TrackGen/.worktrees/survey-foundation/paper/data/source_archive/v7/C0061/xpbd-mig2016.pdf,"Local PDF contains title, abstract, and full paper text."
C0062,"Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics",https://ieeexplore.ieee.org/document/10093017/,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0063,"TrackGen",https://github.com/AntoineRichard/TrackGen,"archive v7; source snapshot cf9e9433",official-web-evidence,/home/antoiner/Documents/TrackGen/.worktrees/survey-foundation/paper/data/source_archive/v7/C0063/trackgen-track-generator-cf9e9433.py,"Archived official source file; not a complete repository snapshot."
C0064,"Warp: A High-performance Python Framework for GPU Simulation and Graphics",https://github.com/NVIDIA/warp,"official repository checked 2026-07-03",official-web-evidence,NR,"Repository evidence rather than an archived GTC paper."
C0065,"CUDA Graphs",https://docs.nvidia.com/cuda/cuda-programming-guide/04-special-topics/cuda-graphs.html,"official documentation checked 2026-07-03",official-web-evidence,NR,"Current documentation; no pinned local documentation version."
C0066,"First return, then explore",https://www.nature.com/articles/s41586-020-03157-9,"publisher record checked 2026-07-03",metadata-only,NR,"No local full text; direct PDF retrieval did not yield a PDF in this audit."
C0067,"Towards automatic personalised content creation for racing games",https://ieeexplore.ieee.org/document/4219051/,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0068,"Search-Based Procedural Content Generation: A Taxonomy and Survey",https://ieeexplore.ieee.org/document/5756645/,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0069,"Experience-Driven Procedural Content Generation",https://ieeexplore.ieee.org/document/5740836/,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text for this exact article."
C0070,"Procedural Content Generation for Games: A Survey",https://dl.acm.org/doi/10.1145/2422956.2422957,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text for this exact survey."
C0071,"Leveraging Procedural Generation to Benchmark Reinforcement Learning",https://proceedings.mlr.press/v119/cobbe20a.html,"PMLR full text checked 2026-07-03",public-full-text,NR,"Official proceedings page exposes downloadable PDF; no local archive copy."
C0073,"Deep Drone Racing: Learning Agile Flight in Dynamic Environments",https://proceedings.mlr.press/v87/kaufmann18a.html,"PMLR full text checked 2026-07-03",public-full-text,NR,"Official proceedings page exposes downloadable PDF; no local archive copy."
C0074,"Deep Drone Racing: From Simulation to Reality With Domain Randomization",https://arxiv.org/abs/1905.09727,"arXiv:1905.09727 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the IEEE version."
C0075,"AlphaPilot: autonomous drone racing",https://arxiv.org/abs/2005.12813,"arXiv:2005.12813 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the journal version."
C0076,"Champion-level drone racing using deep reinforcement learning",https://www.nature.com/articles/s41586-023-06419-4,"Nature PDF checked 2026-07-03",public-full-text,NR,"Official PDF endpoint returned a public PDF; no local archive copy."
C0077,"Reaching the Limit in Autonomous Racing: Optimal Control versus Reinforcement Learning",https://arxiv.org/abs/2310.10943,"arXiv:2310.10943 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the Science Robotics version."
C0078,"MPCC++: Model Predictive Contouring Control for Time-Optimal Flight with Safety Constraints",https://www.roboticsproceedings.org/rss20/p109.pdf,"RSS 2024 proceedings PDF checked 2026-07-03",public-full-text,NR,"Official proceedings PDF verified; no local archive copy."
C0079,"Deep Latent Competition: Learning to Race Using Visual Control Policies in Latent Space",https://proceedings.mlr.press/v155/schwarting21a.html,"PMLR full text checked 2026-07-03",public-full-text,NR,"Official proceedings page exposes downloadable PDF; no local archive copy."
C0080,"Latent Imagination Facilitates Zero-Shot Transfer in Autonomous Racing",https://arxiv.org/abs/2103.04909,"arXiv:2103.04909 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the ICRA version."
C0081,"VISTA 2.0: An Open, Data-driven Simulator for Multimodal Sensing and Policy Learning for Autonomous Vehicles",https://arxiv.org/abs/2111.12083,"arXiv:2111.12083 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the ICRA version."
C0082,"MIT RACECAR",https://mit-racecar.github.io/,"official project site checked 2026-07-03",official-web-evidence,NR,"Current project documentation; no versioned local snapshot."
C0083,"Unifying F1TENTH Autonomous Racing: Survey, Methods and Benchmarks",https://arxiv.org/abs/2402.18558,"arXiv:2402.18558 checked 2026-07-03",public-full-text,NR,"Public survey preprint verified; no local archive copy."
