assignment_id,phase,candidate_id,input_sha256,snapshot_sha256,batch_id,coder_id,screened_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,notes
A-C0046-04,calibration,C0046,828a9557ee0299024f4776f385d6ba0a8165b379ee26b80c2a1c7496f31e4fca,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,excluded,exclude-insufficient-detail,full_text,https://arxiv.org/pdf/2109.12674v3,arXiv-2109.12674v3,2026-07-02,NR,72e78ea7f50b48779f8f6e6344cdba945a5d0d1502139ff5dd16018215f5e2ef,Staged primary-report artifact; PDF trailer/xref is unreadable,The staged PDF bytes match the manifest digest but the document has no readable trailer/xref and no page-level eligibility evidence could be inspected.,Packet defect: staged artifact is structurally unreadable to independent PDF parsers.
A-C0061-04,calibration,C0061,70ac570bc6190e430af01c80c7da830f3ba253774c776589e1dde8c3566520ed,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,excluded,exclude-out-of-scope,full_text,https://dl.acm.org/doi/10.1145/2994258.2994272,ACM-MIG-2016,2026-07-02,NR,cd96241fe2cce7816c3fa1cb2b9e862e5a610263fd38cc8560bb51b7f6ecd502,PDF p. 1; Abstract and Section 1 Introduction,The paper establishes compliant position-based dynamics for deformable-body simulation but no course representation generation transferable route/test-input contribution supporting property or contextual review.,NR
A-C0088-04,calibration,C0088,681b90bde867b7abd5d50c213e8cbc0d48a0e00bb1f448778b8ea762ec4120ea,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,official_documentation,https://www.indyautonomouschallenge.com/s/2022-ACTMS-Rules-v100.pdf,IAC-ACTMS-Rules-v1.0.0,2026-07-02,NR,57488a57951b046b43e41de56ef5a6fdaf1bc4d4199895a387d4cc96a75bff0c,PDF p. 5; Section 4.3 Passing Start Line; PDF pp. 6-8; Sections 4.4-4.9,NR,Supporting mapping: fixed passing-start-line coordinates lap/turn sections safety distances and approved racing-line requirements map to survey benchmark course anchors traversal controls and validity constraints; not a generation method.
A-C0090-04,calibration,C0090,f25a40070edba2783c3255f87a0938efcc1a5844f0324ba6d2ad82a5157997aa,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,excluded,exclude-out-of-scope,official_documentation,https://www.ri.cmu.edu/robotics-groups/driverless-intelligent-vehicles-lab/,unversioned@2026-07-02,2026-07-02,NR,5907b2e622bdcdbaeb210b785b5143a460c7b65661bdc1c48efaf1bc8f49e957,Official documentation; Driverless Intelligent Vehicles Lab profile main description,The profile states broad research emphases in planning control perception and autonomous racing but supplies no course representation generation fixed-course interface metric or contextual review.,NR
A-C0131-04,calibration,C0131,650909ec33a0048c1346ffcd70e0ed11b8c54d64a701e0c56eb9cadec45c6bec,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,official_documentation,https://github.com/ntnu-arl/aerial_gym/blob/v2.0.0/docs/2_simulation_components.md,Aerial-Gym-v2.0.0,2026-07-02,NR,af05e2c0e11366a6b85cabfb94e398979f03ae16a5365d5b3195a68c24f5b267,Official documentation; Environments and Tasks sections,NR,Adjacent-domain mapping: configurable environment bounds asset pools and randomized obstacle placement map to parameterized aerial racing-course geometry and obstacle constraints without changing the environment-configuration claim.
A-C0145-04,calibration,C0145,c603f95d9c0cce970981c890b88c2e556fa213a0949c33b2e60d6e46270b8d09,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,full_text,https://arxiv.org/pdf/2308.12762v1,arXiv-2308.12762v1,2026-07-02,NR,a4d9da6d8dc70857642dec1eb4ecc71b240686cb68582296184f82de9e87f790,PDF pp. 5-8; Section 3 Problem Formulation and Section 3.0.2 Road topology for autonomous vehicle,NR,Adjacent-domain mapping: the sequence-of-segments road topology with length and turn attributes splines lane boundaries and validity constraints maps directly to a ground-racing course centerline and corridor representation without changing the test-scenario-generation claim.
A-C0168-04,calibration,C0168,ccf6c741383daf5e29238fe993e6409832b3f3fc93ee8df1bff942a55bc044bd,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,official_documentation,https://robonation.org/app/uploads/sites/2/2022/10/2022-RobotX_Team-Handbook_v3.0.pdf,RobotX-2022-Team-Handbook-v3.0,2026-07-02,NR,a9bf574bde799ccb466c6d95c98a6cb8924bab6395954edb57a260f4da8a32af,PDF p. 4; Section 1.1; PDF pp. 9-14; Sections 2.4.1-2.5.3,NR,Supporting mapping: named courses gate and buoy geometry ordered path traversal and obstacle restrictions map to marine benchmark course controls and validity constraints; supporting competition-course evidence not a generation method.
A-C0173-04,calibration,C0173,dc572d58116e36524d44904a55aa476d334b4be284334857b31ef3020de86828,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,excluded,exclude-insufficient-detail,full_text,https://proceedings.mlr.press/v155/jain21b/jain21b.pdf,PMLR-v155-2021,2026-07-02,NR,77902e38743747989a4e4e79784d96ba11f29e8c92c5881e211a6790030fa227,Staged primary-report artifact; PDF trailer/xref is unreadable,The staged PDF bytes match the manifest digest but the document has no readable trailer/xref and no page-level eligibility evidence could be inspected.,Packet defect: staged artifact is structurally unreadable to independent PDF parsers.
A-C0183-04,calibration,C0183,addbeba9a50b16f09450c4f362db3e5630223712d3638b47cd47af4d3328fd1c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,full_text,https://proceedings.mlr.press/v155/song21a/song21a.pdf,PMLR-v155-2021,2026-07-02,NR,ac08a94f2a8a1dd614140626c5c9a808b7e40312ba3b37f27771ed22fd363447,PDF p. 6; Section 4.2 and Table 2; PDF p. 11; Supplementary Material Section 5.3,NR,Supporting mapping: static gate pose and radius collision termination and the gate-traversal task map to aerial course-gate representation and validity constraints; supporting simulator evidence not a generation method.
A-C0187-04,calibration,C0187,92d86d20559409f5ed826e11f8dc0c7a1d2a06fd37521890816800b6b420ea22,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-04,screening-04,2026-07-03,included,include-relevant,official_documentation,https://byu-holoocean.github.io/holoocean-docs/v1.0.0/usage/scenarios.html,HoloOcean-v1.0.0,2026-07-02,NR,d1c51cac66c5dd9ebb83402605a2815dae24eeb5642eea950e598ac356284961,Official documentation #what-is-a-scenario; #scenario-file-format; #agent-objects; #location-randomization,NR,Supporting mapping: scenario JSON world bounds agent coordinates and location randomization map to a marine benchmark spatial simulator interface and start-pose controls; supporting simulator evidence not a generation method.
