cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0010,core,ground,car,open_corridor,segment_grammar;centerline_plus_width,search_evolutionary,geometry_synthesis;mutation,penalty,NR,target final progress;maximum speed;final progress variance,NR,NR,NR,custom car-racing simulation,NR,NR,NR,"population size 100;segment mutation probability 0.1","survey_evidence_tier=PDF Sec. 6, Track evolution;domain=PDF Sec. 2, The car racing problem;vehicle=PDF Sec. 2, The car racing problem;course_object=PDF Sec. 6, Track evolution;representation_family=PDF Sec. 6, Track evolution;generator_family=PDF Sec. 4.3, Evolutionary algorithm;generation_role=PDF Sec. 6, Track evolution;validity_strategy=PDF Sec. 6, Track evolution;difficulty_metrics=PDF Sec. 6, Fitness measures;simulator=PDF Sec. 2, The car racing problem;reproducibility_fields=PDF Sec. 4.3, Evolutionary algorithm;reproducibility_fields=PDF Sec. 6, Track evolution",NR
DRAFT_C0016,core,adjacent,continuous-control car,closed_track,NR,environment_design;selection_replay,task_selection,NR,NR,learning potential;regret,NR,adaptive replay of random and teacher-proposed levels,maze domain;CarRacing OOD human-designed mazes and Formula 1 tracks,CarRacing,NR,official_open,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 1, Introduction;vehicle=PDF Fig. 1, CarRacing tracks;course_object=PDF Fig. 1, CarRacing tracks;generator_family=PDF Sec. 1, Introduction;generation_role=PDF Sec. 1, Introduction;difficulty_metrics=PDF Sec. 1, Introduction;training_distribution=PDF Sec. 1, Introduction;evaluation_suite=PDF Sec. 1, Introduction;simulator=PDF Fig. 1, CarRacing tracks;code_status=PDF Sec. 1, Introduction (facebookresearch/dcd URL)",NR
DRAFT_C0047,core,ground,car,closed_track,parametric_curve;occupancy_heightfield_mesh,constructive;stochastic_procedural,geometry_synthesis,repair_projection,point spacing;turn angle,NR,NR,NR,NR,Unity,NR,official_open,NR,"random-point count;point-spacing iterations;angle iterations;maximum displacement","survey_evidence_tier=repo@8cf5fe26 README.md#L11-L44;domain=repo@8cf5fe26 README.md#L11-L12;vehicle=repo@8cf5fe26 README.md#L11-L12;course_object=repo@8cf5fe26 Generation/SplineGenerator.cs#L23-L33;representation_family=repo@8cf5fe26 README.md#L28-L44;generator_family=repo@8cf5fe26 Generation/PointGenerator.cs#L69-L95;generation_role=repo@8cf5fe26 README.md#L19-L44;validity_strategy=repo@8cf5fe26 Generation/PointGenerator.cs#L55-L66;geometry_metrics=repo@8cf5fe26 Generation/PointGenerator.cs#L17-L24;simulator=repo@8cf5fe26 README.md#L3-L4;code_status=repo@8cf5fe26 README.md#L11-L17;reproducibility_fields=repo@8cf5fe26 Generation/PointGenerator.cs#L8-L28",NR
DRAFT_C0050,core,ground,car,closed_track,parametric_curve;sampled_centerline;occupancy_heightfield_mesh,stochastic_procedural,geometry_synthesis;serialization,NR,curvature;track width,NR,NR,NR,NR,NR,CSV;PNG;YAML,official_open,official_open,"optional random seed;width;height;track width;control-point count","survey_evidence_tier=repo@45848d15 track_generator.py#L9-L52;domain=repo@45848d15 README.md#L1-L2;vehicle=repo@45848d15 README.md#L1-L2;course_object=repo@45848d15 track_generator.py#L29-L36;representation_family=repo@45848d15 track_generator.py#L33-L40;generator_family=repo@45848d15 track_generator.py#L17-L27;generation_role=repo@45848d15 track_generator.py#L54-L96;geometry_metrics=repo@45848d15 track_generator.py#L43-L50;export_format=repo@45848d15 track_generator.py#L76-L96;code_status=repo@45848d15 track_generator.py#L1-L120;asset_status=repo@45848d15 racing_map.yaml#L1-L9;reproducibility_fields=repo@45848d15 track_generator.py#L9-L13;reproducibility_fields=repo@45848d15 track_generator.py#L107-L120",NR
DRAFT_C0052,core,adjacent,NR,road_network,segment_grammar;waypoint_graph,constructive,geometry_synthesis;repair,repair_projection,NR,NR,NR,NR,NR,NR,NR,NR,NR,"extended parametric L-system;globalGoals;localConstraints","survey_evidence_tier=PDF Sec. 3, Roadmap generation;domain=PDF Sec. 3, Roadmap generation;course_object=PDF Sec. 3, Roadmap generation;representation_family=PDF Sec. 3, Roadmap generation;generator_family=PDF Sec. 3, Roadmap generation;generation_role=PDF Sec. 3, Roadmap generation;validity_strategy=PDF Sec. 3, Roadmap generation (localConstraints);reproducibility_fields=PDF Sec. 3, Roadmap generation",NR
DRAFT_C0097,core,adjacent,NR,road_network,sampled_centerline;waypoint_graph,learned_generative,geometry_synthesis,NR,negative log likelihood,NR,temperature-controlled sampling variance,Argoverse lane-map samples;in-house map samples,Argoverse dataset;in-house dataset,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 2.1, Street Map Modeling and Generation;course_object=PDF Sec. 3.1, Data Representation;representation_family=PDF Sec. 3.1, Data Representation;generator_family=PDF Sec. 3.2, Autoregressive Modeling;generation_role=PDF Sec. 3.2, Global Graph Generation;geometry_metrics=PDF Sec. 4.2, Table 1;diversity_metrics=PDF Sec. 3.2, Local Graph Generation;training_distribution=PDF Sec. 4.1, Datasets;evaluation_suite=PDF Sec. 4.1, Datasets",NR
DRAFT_C0140,core,ground,quadruped robot,waypoint_sequence;world_asset,NR,human_designed,task_selection,NR,NR,terrain difficulty level,NR,easy-to-hard terrain curriculum,simulated obstacle course;real-world trials,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF Sec. 3.2, Reinforcement Learning from Scandots;domain=PDF Sec. 4.1, Experimental Setup;vehicle=PDF Sec. 4.1, Experimental Setup;course_object=PDF Fig. 3;generator_family=PDF Sec. 3.2, Reinforcement Learning from Scandots;generation_role=PDF Sec. 3.2, Reinforcement Learning from Scandots;difficulty_metrics=PDF Sec. 3.2, Reinforcement Learning from Scandots;training_distribution=PDF Sec. 3.2, Reinforcement Learning from Scandots;evaluation_suite=PDF Sec. 4.3.1, Simulation results;evaluation_suite=PDF Sec. 4.3.2, Real-world results",NR
DRAFT_C0148,core,adjacent,automated vehicle,road_network,waypoint_graph,constructive,geometry_synthesis,constraint_solver,mean relative error,potential path conflicts,NR,NR,"Xi'an cartographic data;15 complexity levels;CARLA lane-change tests",CARLA,NR,official_open,official_open,"4,500 generated road networks;15 complexity levels;source code and replication package","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF Sec. 3.2, Virtual testing in lane-change scenario;course_object=PDF Sec. 3.1, Road network generation;representation_family=PDF Sec. 5, Conclusion;generator_family=PDF Sec. 3.1, Road network generation;generation_role=PDF Sec. 3.1, Road network generation;validity_strategy=PDF p. 1, Abstract (non-intersecting and non-overlapping);geometry_metrics=PDF p. 1, Abstract;difficulty_metrics=PDF Sec. 3.1, Road network generation;evaluation_suite=PDF p. 1, Abstract;evaluation_suite=PDF Sec. 3.2, Virtual testing in lane-change scenario;simulator=PDF Sec. 3.2, Virtual testing in lane-change scenario;code_status=PDF Replication and data sharing;asset_status=PDF Replication and data sharing;reproducibility_fields=PDF p. 1, Abstract;reproducibility_fields=PDF Replication and data sharing",NR
DRAFT_C0150,core,maritime,maritime autonomous surface ship remote operator,waypoint_sequence,NR,constructive,geometry_synthesis,by_construction,course-altering angle;distance between waypoints,NR,NR,trajectory-data-fitted navigation-element proportions,NR,NR,NR,NR,NR,"10-minute extraction window;5-degree COG standard-deviation threshold;eight permutation components","survey_evidence_tier=PDF Sec. 2.3.2, Application of Proportion;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF Sec. 2.2.2, Navigation Element Extraction;generator_family=PDF Sec. 2.3.2, Application of Proportion;generation_role=PDF Sec. 2.4, Permutation of Values in Different Proportions;validity_strategy=PDF Sec. 4.3, Permutation Method of Navigation Scenario Generation;geometry_metrics=PDF Sec. 2.2.2, Navigation Element Extraction;training_distribution=PDF Sec. 2.3.1, Representative Value Decision;reproducibility_fields=PDF Sec. 2.2.2, Navigation Element Extraction;reproducibility_fields=PDF Sec. 3.3, Permutation of Prepared Components and Sample Scenario",NR
DRAFT_C0161,core,ground,quadruped robot,waypoint_sequence;world_asset,occupancy_heightfield_mesh,learned_generative;environment_design,geometry_synthesis;mutation,repair_projection,maximum terrain height difference,number of reached goals;difficulty,terrain height statistics,10 terrain classes across 10 difficulties,"20 held-out simulation tasks;real-world courses",NR,NR,NR,NR,"GPT-4o;five generation iterations;10 terrain classes;10 difficulties","survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 1, Introduction;vehicle=PDF Sec. 1, Introduction;course_object=PDF Appendix A.2, Environment Specification;representation_family=PDF Appendix A.2, Environment Specification;generator_family=PDF Sec. 4, Methods;generation_role=PDF Sec. 4, Methods;validity_strategy=PDF Appendix A.1, Generated Terrain Examples;geometry_metrics=PDF Appendix A.1, Generated Terrain Examples;difficulty_metrics=PDF Appendix A.1, Generated Terrain Examples;diversity_metrics=PDF Appendix A.1, Generated Terrain Examples;training_distribution=PDF Appendix A.2, Policy Training;evaluation_suite=PDF Sec. 5.2, Simulated Parkour Benchmark;evaluation_suite=PDF Sec. 1, Introduction;reproducibility_fields=PDF Sec. 4, Methods;reproducibility_fields=PDF Appendix A.2, Policy Training",NR
