assignment_id,candidate_id,input_sha256,snapshot_sha256,batch_id,phase,title,authors,year,venue,doi,url,source_type
A-C0009-06,C0009,1ab177444dc89f6365a832b0404d39801af030ded2c72ccb0c650906dd7a48b9,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,2011,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2163692,https://doi.org/10.1109/tciaig.2011.2163692,journal article
A-C0011-06,C0011,db505b99cdf78d42814b816221706da40c43572617f54c41efb40c598be1edf6,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Search-based Procedural Content Generation for Race Tracks in Video Games,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,2016,International Journal on Electrical Engineering and Informatics,10.15676/ijeei.2016.8.4.6,https://doi.org/10.15676/ijeei.2016.8.4.6,journal article
A-C0015-06,C0015,84c9813900746a2d70c65081ee32916be3345c0cde67d99084a9d8bffc5a2691,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS),United Nations Economic Commission for Europe,2021,United Nations Regulation No. 157,NR,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,official standard
A-C0017-06,C0017,1b4e0b02863780bd1ad91b88a138e91b7d0386ae97758c89c8343089cc194365,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Car Racing,Oleg Klimov,NR,Gymnasium Documentation,NR,https://gymnasium.farama.org/environments/box2d/car_racing/,benchmark environment; official documentation
A-C0063-06,C0063,96cfcf2e603e151cc8ddae1721ca087904bebdb6086a44f30a72753b0a71a6a2,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,TrackGen,Antoine Richard,2026,GitHub repository,NR,https://github.com/AntoineRichard/TrackGen,software repository
A-C0097-06,C0097,8ae70362abed9de14dd61fec345f4c5024e0b1e183959d1b9724e76763f13792,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps,Lu Mi; Hang Zhao; Charlie Nash; Xiaohan Jin; Jiyang Gao; Chen Sun; Cordelia Schmid; Nir Shavit; Yuning Chai; Dragomir Anguelov,2021,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr46437.2021.00421,https://openaccess.thecvf.com/content/CVPR2021/html/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.html,conference paper
A-C0128-06,C0128,67eacc08340090e0ce18c6acaa3a3ab9171a00c45e5f580a3b742da3fc1b4a19,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,CommonRoad: Composable Benchmarks for Motion Planning on Roads,Matthias Althoff; Markus Koschi; Stefanie Manzinger,2017,2017 IEEE Intelligent Vehicles Symposium (IV),10.1109/ivs.2017.7995802,https://doi.org/10.1109/ivs.2017.7995802,conference paper
A-C0136-06,C0136,52b0a00b95efef605d3569a7aa8593e8d1a618d9a5e5427a518486427b443553,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,SBST Tool Competition 2021,Sebastiano Panichella; Alessio Gambi; Fiorella Zampetti; Vincenzo Riccio,2021,2021 IEEE/ACM 14th International Workshop on Search-Based Software Testing (SBST),10.1109/sbst52555.2021.00011,https://ieeexplore.ieee.org/document/9476243/,conference paper; competition report
A-C0145-06,C0145,a9b6cf763938fcb347b22b8f5ec31423c3f10c4d6209820c4f6843df2c874fd7,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Reinforcement Learning Informed Evolutionary Search for Autonomous Systems Testing,Dmytro Humeniuk;Foutse Khomh;Giuliano Antoniol,2024,ACM Transactions on Software Engineering and Methodology,10.1145/3680468,https://doi.org/10.1145/3680468,journal article
A-C0147-06,C0147,91567637d564ebcd67e744f1ff9ef56ec0974847b00428f2594b525a629d7200,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Toward Maritime Robotic Simulation in Gazebo,Brian Bingham;Carlos Agüero;Michael McCarrin;Joseph Klamo;Joshua Malia;Kevin Allen;Tyler Lum;Marshall Rawson;Rumman Waqar,2019,OCEANS 2019 MTS/IEEE SEATTLE,10.23919/oceans40490.2019.8962724,https://doi.org/10.23919/oceans40490.2019.8962724,conference paper
A-C0177-06,C0177,cbd828c392e98016e29376e7432970ad347a1434c9db6790160f7ed368fc287a,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Enhanced POET: Open-ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions,Rui Wang; Joel Lehman; Aditya Rawal; Jiale Zhi; Yulun Li; Jeffrey Clune; Kenneth Stanley,2020,Proceedings of the 37th International Conference on Machine Learning,NR,https://proceedings.mlr.press/v119/wang20l.html,conference paper
A-C0196-06,C0196,d326b4f09fc6d5f75fad2a118619a797a473b29efe5f0d4a3e8c71944c22b7a2,aba4aabafecb7fa51291898cafe52b86bb72793f99b81fb168705037ff305794,screening-06,calibration,Random Track Generator,Formula Student Team Delft,2026,Python Package Index,NR,https://pypi.org/project/random-track-generator/,software package; official repository
